id,program,department,year,semester,division,day,start_time,end_time,subject,faculty,room
71,Diploma,Computer Engineering,FY,1,B,Saturday,02:00,03:00,Surveying,Prof. Faculty 153,CO-182
72,Diploma,Computer Engineering,FY,1,B,Saturday,03:00,04:00,Computer Networks,Prof. Faculty 213,CO-108
73,Diploma,Computer Engineering,FY,2,A,Monday,09:00,10:00,Operating Systems,Prof. Faculty 210,CO-110
74,Diploma,Computer Engineering,FY,2,A,Monday,10:00,11:00,Project Lab,Prof. Faculty 189,CO-110
75,Diploma,Computer Engineering,FY,2,A,Monday,11:15,12:15,Physics,Prof. Faculty 049,CO-206
76,Diploma,Computer Engineering,FY,2,A,Monday,12:15,01:15,Java Programming,Prof. Faculty 224,CO-219
77,Diploma,Computer Engineering,FY,2,A,Monday,02:00,03:00,Thermodynamics,Prof. Faculty 176,CO-310
78,Diploma,Computer Engineering,FY,2,A,Monday,03:00,04:00,Mathematics,Prof. Faculty 178,CO-275
79,Diploma,Computer Engineering,FY,2,A,Tuesday,09:00,10:00,Machine Learning,Prof. Faculty 103,CO-178
80,Diploma,Computer Engineering,FY,2,A,Tuesday,10:00,11:00,Data Structures,Prof. Faculty 126,CO-211
81,Diploma,Computer Engineering,FY,2,A,Tuesday,11:15,12:15,Machine Learning,Prof. Faculty 126,CO-266
82,Diploma,Computer Engineering,FY,2,A,Tuesday,12:15,01:15,Computer Networks,Prof. Faculty 045,CO-187
83,Diploma,Computer Engineering,FY,2,A,Tuesday,02:00,03:00,Cyber Security,Prof. Faculty 164,CO-174
84,Diploma,Computer Engineering,FY,2,A,Tuesday,03:00,04:00,Software Engineering,Prof. Faculty 207,CO-288
85,Diploma,Computer Engineering,FY,2,A,Wednesday,09:00,10:00,Web Development,Prof. Faculty 190,CO-172
86,Diploma,Computer Engineering,FY,2,A,Wednesday,10:00,11:00,AI Fundamentals,Prof. Faculty 194,CO-142
87,Diploma,Computer Engineering,FY,2,A,Wednesday,11:15,12:15,Python Programming,Prof. Faculty 043,CO-276
88,Diploma,Computer Engineering,FY,2,A,Wednesday,12:15,01:15,Java Programming,Prof. Faculty 001,CO-308
89,Diploma,Computer Engineering,FY,2,A,Wednesday,02:00,03:00,Electrical Machines,Prof. Faculty 072,CO-307
90,Diploma,Computer Engineering,FY,2,A,Wednesday,03:00,04:00,Cyber Security,Prof. Faculty 139,CO-139
91,Diploma,Computer Engineering,FY,2,A,Thursday,09:00,10:00,CAD/CAM,Prof. Faculty 044,CO-162
92,Diploma,Computer Engineering,FY,2,A,Thursday,10:00,11:00,Cyber Security,Prof. Faculty 239,CO-137
93,Diploma,Computer Engineering,FY,2,A,Thursday,11:15,12:15,Mathematics,Prof. Faculty 190,CO-245
94,Diploma,Computer Engineering,FY,2,A,Thursday,12:15,01:15,Data Structures,Prof. Faculty 160,CO-208
95,Diploma,Computer Engineering,FY,2,A,Thursday,02:00,03:00,Digital Electronics,Prof. Faculty 208,CO-128
96,Diploma,Computer Engineering,FY,2,A,Thursday,03:00,04:00,Web Development,Prof. Faculty 045,CO-266
97,Diploma,Computer Engineering,FY,2,A,Friday,09:00,10:00,Cyber Security,Prof. Faculty 180,CO-146
98,Diploma,Computer Engineering,FY,2,A,Friday,10:00,11:00,Digital Electronics,Prof. Faculty 197,CO-285
99,Diploma,Computer Engineering,FY,2,A,Friday,11:15,12:15,CAD/CAM,Prof. Faculty 137,CO-314
100,Diploma,Computer Engineering,FY,2,A,Friday,12:15,01:15,Cyber Security,Prof. Faculty 150,CO-208
101,Diploma,Computer Engineering,FY,2,A,Friday,02:00,03:00,Project Lab,Prof. Faculty 135,CO-165
102,Diploma,Computer Engineering,FY,2,A,Friday,03:00,04:00,Physics,Prof. Faculty 097,CO-242
103,Diploma,Computer Engineering,FY,2,A,Saturday,09:00,10:00,Cloud Computing,Prof. Faculty 071,CO-217
104,Diploma,Computer Engineering,FY,2,A,Saturday,10:00,11:00,Data Structures,Prof. Faculty 071,CO-152
105,Diploma,Computer Engineering,FY,2,A,Saturday,11:15,12:15,Electrical Machines,Prof. Faculty 141,CO-118
106,Diploma,Computer Engineering,FY,2,A,Saturday,12:15,01:15,Electrical Machines,Prof. Faculty 123,CO-196
107,Diploma,Computer Engineering,FY,2,A,Saturday,02:00,03:00,Operating Systems,Prof. Faculty 233,CO-253
108,Diploma,Computer Engineering,FY,2,A,Saturday,03:00,04:00,Physics,Prof. Faculty 233,CO-188
109,Diploma,Computer Engineering,FY,2,B,Monday,09:00,10:00,Data Structures,Prof. Faculty 246,CO-104
110,Diploma,Computer Engineering,FY,2,B,Monday,10:00,11:00,Machine Learning,Prof. Faculty 176,CO-237
111,Diploma,Computer Engineering,FY,2,B,Monday,11:15,12:15,CAD/CAM,Prof. Faculty 013,CO-127
112,Diploma,Computer Engineering,FY,2,B,Monday,12:15,01:15,CAD/CAM,Prof. Faculty 235,CO-169
113,Diploma,Computer Engineering,FY,2,B,Monday,02:00,03:00,AI Fundamentals,Prof. Faculty 207,CO-197
114,Diploma,Computer Engineering,FY,2,B,Monday,03:00,04:00,Python Programming,Prof. Faculty 168,CO-300
115,Diploma,Computer Engineering,FY,2,B,Tuesday,09:00,10:00,Python Programming,Prof. Faculty 234,CO-136
116,Diploma,Computer Engineering,FY,2,B,Tuesday,10:00,11:00,Project Lab,Prof. Faculty 225,CO-316
117,Diploma,Computer Engineering,FY,2,B,Tuesday,11:15,12:15,Surveying,Prof. Faculty 161,CO-274
118,Diploma,Computer Engineering,FY,2,B,Tuesday,12:15,01:15,Project Lab,Prof. Faculty 250,CO-203
119,Diploma,Computer Engineering,FY,2,B,Tuesday,02:00,03:00,Web Development,Prof. Faculty 171,CO-255
120,Diploma,Computer Engineering,FY,2,B,Tuesday,03:00,04:00,Electrical Machines,Prof. Faculty 139,CO-262
121,Diploma,Computer Engineering,FY,2,B,Wednesday,09:00,10:00,Computer Networks,Prof. Faculty 005,CO-160
122,Diploma,Computer Engineering,FY,2,B,Wednesday,10:00,11:00,Digital Electronics,Prof. Faculty 174,CO-111
123,Diploma,Computer Engineering,FY,2,B,Wednesday,11:15,12:15,Project Lab,Prof. Faculty 131,CO-175
124,Diploma,Computer Engineering,FY,2,B,Wednesday,12:15,01:15,Project Lab,Prof. Faculty 109,CO-217
125,Diploma,Computer Engineering,FY,2,B,Wednesday,02:00,03:00,Computer Networks,Prof. Faculty 028,CO-113
126,Diploma,Computer Engineering,FY,2,B,Wednesday,03:00,04:00,Thermodynamics,Prof. Faculty 246,CO-161
127,Diploma,Computer Engineering,FY,2,B,Thursday,09:00,10:00,Cyber Security,Prof. Faculty 096,CO-267
128,Diploma,Computer Engineering,FY,2,B,Thursday,10:00,11:00,Software Engineering,Prof. Faculty 130,CO-220
129,Diploma,Computer Engineering,FY,2,B,Thursday,11:15,12:15,Java Programming,Prof. Faculty 077,CO-255
130,Diploma,Computer Engineering,FY,2,B,Thursday,12:15,01:15,DBMS,Prof. Faculty 029,CO-152
131,Diploma,Computer Engineering,FY,2,B,Thursday,02:00,03:00,AI Fundamentals,Prof. Faculty 076,CO-319
132,Diploma,Computer Engineering,FY,2,B,Thursday,03:00,04:00,Web Development,Prof. Faculty 113,CO-179
133,Diploma,Computer Engineering,FY,2,B,Friday,09:00,10:00,Project Lab,Prof. Faculty 014,CO-301
134,Diploma,Computer Engineering,FY,2,B,Friday,10:00,11:00,Cloud Computing,Prof. Faculty 101,CO-260
135,Diploma,Computer Engineering,FY,2,B,Friday,11:15,12:15,Thermodynamics,Prof. Faculty 060,CO-293
136,Diploma,Computer Engineering,FY,2,B,Friday,12:15,01:15,Cyber Security,Prof. Faculty 131,CO-156
137,Diploma,Computer Engineering,FY,2,B,Friday,02:00,03:00,Cloud Computing,Prof. Faculty 097,CO-291
138,Diploma,Computer Engineering,FY,2,B,Friday,03:00,04:00,Software Engineering,Prof. Faculty 147,CO-220
139,Diploma,Computer Engineering,FY,2,B,Saturday,09:00,10:00,Mathematics,Prof. Faculty 182,CO-282
140,Diploma,Computer Engineering,FY,2,B,Saturday,10:00,11:00,Python Programming,Prof. Faculty 120,CO-255
141,Diploma,Computer Engineering,FY,2,B,Saturday,11:15,12:15,Cyber Security,Prof. Faculty 012,CO-247
142,Diploma,Computer Engineering,FY,2,B,Saturday,12:15,01:15,Machine Learning,Prof. Faculty 009,CO-237
143,Diploma,Computer Engineering,FY,2,B,Saturday,02:00,03:00,Thermodynamics,Prof. Faculty 030,CO-135
144,Diploma,Computer Engineering,FY,2,B,Saturday,03:00,04:00,Project Lab,Prof. Faculty 146,CO-276
145,Diploma,Computer Engineering,SY,3,A,Monday,09:00,10:00,Java Programming,Prof. Faculty 204,CO-243
146,Diploma,Computer Engineering,SY,3,A,Monday,10:00,11:00,Operating Systems,Prof. Faculty 232,CO-155
147,Diploma,Computer Engineering,SY,3,A,Monday,11:15,12:15,Surveying,Prof. Faculty 198,CO-175
148,Diploma,Computer Engineering,SY,3,A,Monday,12:15,01:15,Web Development,Prof. Faculty 005,CO-265
149,Diploma,Computer Engineering,SY,3,A,Monday,02:00,03:00,Software Engineering,Prof. Faculty 023,CO-131
150,Diploma,Computer Engineering,SY,3,A,Monday,03:00,04:00,Cloud Computing,Prof. Faculty 139,CO-202
151,Diploma,Computer Engineering,SY,3,A,Tuesday,09:00,10:00,Python Programming,Prof. Faculty 064,CO-235
152,Diploma,Computer Engineering,SY,3,A,Tuesday,10:00,11:00,Cloud Computing,Prof. Faculty 038,CO-222
153,Diploma,Computer Engineering,SY,3,A,Tuesday,11:15,12:15,Electrical Machines,Prof. Faculty 071,CO-213
154,Diploma,Computer Engineering,SY,3,A,Tuesday,12:15,01:15,Python Programming,Prof. Faculty 128,CO-276
155,Diploma,Computer Engineering,SY,3,A,Tuesday,02:00,03:00,AI Fundamentals,Prof. Faculty 145,CO-171
156,Diploma,Computer Engineering,SY,3,A,Tuesday,03:00,04:00,Cyber Security,Prof. Faculty 047,CO-126
157,Diploma,Computer Engineering,SY,3,A,Wednesday,09:00,10:00,Java Programming,Prof. Faculty 140,CO-178
158,Diploma,Computer Engineering,SY,3,A,Wednesday,10:00,11:00,Cloud Computing,Prof. Faculty 118,CO-276
159,Diploma,Computer Engineering,SY,3,A,Wednesday,11:15,12:15,AI Fundamentals,Prof. Faculty 165,CO-138
160,Diploma,Computer Engineering,SY,3,A,Wednesday,12:15,01:15,Web Development,Prof. Faculty 223,CO-130
161,Diploma,Computer Engineering,SY,3,A,Wednesday,02:00,03:00,Surveying,Prof. Faculty 248,CO-257
162,Diploma,Computer Engineering,SY,3,A,Wednesday,03:00,04:00,Project Lab,Prof. Faculty 204,CO-283
163,Diploma,Computer Engineering,SY,3,A,Thursday,09:00,10:00,DBMS,Prof. Faculty 093,CO-189
164,Diploma,Computer Engineering,SY,3,A,Thursday,10:00,11:00,Physics,Prof. Faculty 115,CO-165
165,Diploma,Computer Engineering,SY,3,A,Thursday,11:15,12:15,Physics,Prof. Faculty 159,CO-251
166,Diploma,Computer Engineering,SY,3,A,Thursday,12:15,01:15,Mathematics,Prof. Faculty 127,CO-105
167,Diploma,Computer Engineering,SY,3,A,Thursday,02:00,03:00,Operating Systems,Prof. Faculty 069,CO-189
168,Diploma,Computer Engineering,SY,3,A,Thursday,03:00,04:00,Data Structures,Prof. Faculty 031,CO-211
169,Diploma,Computer Engineering,SY,3,A,Friday,09:00,10:00,Cloud Computing,Prof. Faculty 206,CO-275
170,Diploma,Computer Engineering,SY,3,A,Friday,10:00,11:00,Digital Electronics,Prof. Faculty 192,CO-173
171,Diploma,Computer Engineering,SY,3,A,Friday,11:15,12:15,Python Programming,Prof. Faculty 175,CO-174
172,Diploma,Computer Engineering,SY,3,A,Friday,12:15,01:15,Surveying,Prof. Faculty 008,CO-259
173,Diploma,Computer Engineering,SY,3,A,Friday,02:00,03:00,Cyber Security,Prof. Faculty 220,CO-222
174,Diploma,Computer Engineering,SY,3,A,Friday,03:00,04:00,Digital Electronics,Prof. Faculty 172,CO-229
175,Diploma,Computer Engineering,SY,3,A,Saturday,09:00,10:00,Cyber Security,Prof. Faculty 133,CO-244
176,Diploma,Computer Engineering,SY,3,A,Saturday,10:00,11:00,Cyber Security,Prof. Faculty 016,CO-214
177,Diploma,Computer Engineering,SY,3,A,Saturday,11:15,12:15,Thermodynamics,Prof. Faculty 105,CO-235
178,Diploma,Computer Engineering,SY,3,A,Saturday,12:15,01:15,CAD/CAM,Prof. Faculty 100,CO-269
179,Diploma,Computer Engineering,SY,3,A,Saturday,02:00,03:00,Project Lab,Prof. Faculty 170,CO-213
180,Diploma,Computer Engineering,SY,3,A,Saturday,03:00,04:00,Digital Electronics,Prof. Faculty 044,CO-239
181,Diploma,Computer Engineering,SY,3,B,Monday,09:00,10:00,Project Lab,Prof. Faculty 222,CO-105
182,Diploma,Computer Engineering,SY,3,B,Monday,10:00,11:00,Physics,Prof. Faculty 137,CO-178
183,Diploma,Computer Engineering,SY,3,B,Monday,11:15,12:15,Mathematics,Prof. Faculty 092,CO-127
184,Diploma,Computer Engineering,SY,3,B,Monday,12:15,01:15,CAD/CAM,Prof. Faculty 054,CO-227
185,Diploma,Computer Engineering,SY,3,B,Monday,02:00,03:00,Machine Learning,Prof. Faculty 113,CO-194
186,Diploma,Computer Engineering,SY,3,B,Monday,03:00,04:00,Digital Electronics,Prof. Faculty 008,CO-182
187,Diploma,Computer Engineering,SY,3,B,Tuesday,09:00,10:00,Project Lab,Prof. Faculty 231,CO-257
188,Diploma,Computer Engineering,SY,3,B,Tuesday,10:00,11:00,AI Fundamentals,Prof. Faculty 134,CO-173
189,Diploma,Computer Engineering,SY,3,B,Tuesday,11:15,12:15,Physics,Prof. Faculty 068,CO-298
190,Diploma,Computer Engineering,SY,3,B,Tuesday,12:15,01:15,Project Lab,Prof. Faculty 209,CO-242
191,Diploma,Computer Engineering,SY,3,B,Tuesday,02:00,03:00,Thermodynamics,Prof. Faculty 135,CO-213
192,Diploma,Computer Engineering,SY,3,B,Tuesday,03:00,04:00,Surveying,Prof. Faculty 003,CO-294
193,Diploma,Computer Engineering,SY,3,B,Wednesday,09:00,10:00,Software Engineering,Prof. Faculty 157,CO-183
194,Diploma,Computer Engineering,SY,3,B,Wednesday,10:00,11:00,Software Engineering,Prof. Faculty 011,CO-282
195,Diploma,Computer Engineering,SY,3,B,Wednesday,11:15,12:15,Thermodynamics,Prof. Faculty 227,CO-272
196,Diploma,Computer Engineering,SY,3,B,Wednesday,12:15,01:15,CAD/CAM,Prof. Faculty 235,CO-294
197,Diploma,Computer Engineering,SY,3,B,Wednesday,02:00,03:00,Digital Electronics,Prof. Faculty 161,CO-226
198,Diploma,Computer Engineering,SY,3,B,Wednesday,03:00,04:00,DBMS,Prof. Faculty 094,CO-308
199,Diploma,Computer Engineering,SY,3,B,Thursday,09:00,10:00,Electrical Machines,Prof. Faculty 235,CO-201
200,Diploma,Computer Engineering,SY,3,B,Thursday,10:00,11:00,Computer Networks,Prof. Faculty 060,CO-117
201,Diploma,Computer Engineering,SY,3,B,Thursday,11:15,12:15,Cloud Computing,Prof. Faculty 111,CO-246
202,Diploma,Computer Engineering,SY,3,B,Thursday,12:15,01:15,Digital Electronics,Prof. Faculty 127,CO-111
203,Diploma,Computer Engineering,SY,3,B,Thursday,02:00,03:00,Mathematics,Prof. Faculty 139,CO-240
204,Diploma,Computer Engineering,SY,3,B,Thursday,03:00,04:00,Surveying,Prof. Faculty 035,CO-278
205,Diploma,Computer Engineering,SY,3,B,Friday,09:00,10:00,Data Structures,Prof. Faculty 240,CO-103
206,Diploma,Computer Engineering,SY,3,B,Friday,10:00,11:00,Java Programming,Prof. Faculty 247,CO-184
207,Diploma,Computer Engineering,SY,3,B,Friday,11:15,12:15,Surveying,Prof. Faculty 051,CO-195
208,Diploma,Computer Engineering,SY,3,B,Friday,12:15,01:15,CAD/CAM,Prof. Faculty 162,CO-159
209,Diploma,Computer Engineering,SY,3,B,Friday,02:00,03:00,Web Development,Prof. Faculty 196,CO-287
210,Diploma,Computer Engineering,SY,3,B,Friday,03:00,04:00,Data Structures,Prof. Faculty 209,CO-177
211,Diploma,Computer Engineering,SY,3,B,Saturday,09:00,10:00,Thermodynamics,Prof. Faculty 128,CO-285
212,Diploma,Computer Engineering,SY,3,B,Saturday,10:00,11:00,Project Lab,Prof. Faculty 137,CO-239
213,Diploma,Computer Engineering,SY,3,B,Saturday,11:15,12:15,Data Structures,Prof. Faculty 027,CO-192
214,Diploma,Computer Engineering,SY,3,B,Saturday,12:15,01:15,Physics,Prof. Faculty 243,CO-105
215,Diploma,Computer Engineering,SY,3,B,Saturday,02:00,03:00,Cloud Computing,Prof. Faculty 120,CO-312
216,Diploma,Computer Engineering,SY,3,B,Saturday,03:00,04:00,Software Engineering,Prof. Faculty 021,CO-189
217,Diploma,Computer Engineering,SY,4,A,Monday,09:00,10:00,Python Programming,Prof. Faculty 223,CO-280
218,Diploma,Computer Engineering,SY,4,A,Monday,10:00,11:00,Cyber Security,Prof. Faculty 153,CO-110
219,Diploma,Computer Engineering,SY,4,A,Monday,11:15,12:15,Digital Electronics,Prof. Faculty 192,CO-319
220,Diploma,Computer Engineering,SY,4,A,Monday,12:15,01:15,Mathematics,Prof. Faculty 018,CO-223
221,Diploma,Computer Engineering,SY,4,A,Monday,02:00,03:00,Web Development,Prof. Faculty 212,CO-170
222,Diploma,Computer Engineering,SY,4,A,Monday,03:00,04:00,Computer Networks,Prof. Faculty 028,CO-241
223,Diploma,Computer Engineering,SY,4,A,Tuesday,09:00,10:00,Electrical Machines,Prof. Faculty 053,CO-111
224,Diploma,Computer Engineering,SY,4,A,Tuesday,10:00,11:00,Surveying,Prof. Faculty 049,CO-308
225,Diploma,Computer Engineering,SY,4,A,Tuesday,11:15,12:15,CAD/CAM,Prof. Faculty 183,CO-188
226,Diploma,Computer Engineering,SY,4,A,Tuesday,12:15,01:15,Cyber Security,Prof. Faculty 191,CO-111
227,Diploma,Computer Engineering,SY,4,A,Tuesday,02:00,03:00,Python Programming,Prof. Faculty 002,CO-243
228,Diploma,Computer Engineering,SY,4,A,Tuesday,03:00,04:00,Operating Systems,Prof. Faculty 237,CO-320
229,Diploma,Computer Engineering,SY,4,A,Wednesday,09:00,10:00,AI Fundamentals,Prof. Faculty 139,CO-295
230,Diploma,Computer Engineering,SY,4,A,Wednesday,10:00,11:00,Web Development,Prof. Faculty 208,CO-243
231,Diploma,Computer Engineering,SY,4,A,Wednesday,11:15,12:15,Cloud Computing,Prof. Faculty 227,CO-319
232,Diploma,Computer Engineering,SY,4,A,Wednesday,12:15,01:15,Mathematics,Prof. Faculty 169,CO-299
233,Diploma,Computer Engineering,SY,4,A,Wednesday,02:00,03:00,Digital Electronics,Prof. Faculty 121,CO-238
234,Diploma,Computer Engineering,SY,4,A,Wednesday,03:00,04:00,Operating Systems,Prof. Faculty 199,CO-130
235,Diploma,Computer Engineering,SY,4,A,Thursday,09:00,10:00,AI Fundamentals,Prof. Faculty 054,CO-279
236,Diploma,Computer Engineering,SY,4,A,Thursday,10:00,11:00,Cloud Computing,Prof. Faculty 175,CO-141
237,Diploma,Computer Engineering,SY,4,A,Thursday,11:15,12:15,Software Engineering,Prof. Faculty 086,CO-270
238,Diploma,Computer Engineering,SY,4,A,Thursday,12:15,01:15,Operating Systems,Prof. Faculty 126,CO-210
239,Diploma,Computer Engineering,SY,4,A,Thursday,02:00,03:00,Computer Networks,Prof. Faculty 157,CO-248
240,Diploma,Computer Engineering,SY,4,A,Thursday,03:00,04:00,DBMS,Prof. Faculty 015,CO-296
241,Diploma,Computer Engineering,SY,4,A,Friday,09:00,10:00,Computer Networks,Prof. Faculty 074,CO-108
