placement_id,company_name,program,department,job_role,package_lpa,location,drive_date,eligibility,vacancies,skills_required,registration_deadline,contact_email,status
P020,Reliance Industries,BCA,Electrical Engineering,Electrical Engineer,5.5,Hyderabad,2026-11-13,"70% throughout, No active backlogs",87,"Python, SQL, DSA",2026-11-05,placement20@svit.edu.in,Completed
P021,Tata Consultancy Services,Diploma,Automobile Engineering,Network Engineer,16.1,Vadodara,2026-11-19,"65% throughout, No active backlogs",100,"Python, SQL, DSA",2026-11-14,placement21@svit.edu.in,Registration Open
P022,Microsoft,Diploma,Artificial Intelligence & Machine Learning,Software Engineer,12.7,Hyderabad,2026-06-06,"60% throughout, No active backlogs",46,"AutoCAD, Design",2026-05-29,placement22@svit.edu.in,Completed
P023,Bosch,ME,Electronics & Communication,Business Analyst,8.9,Mumbai,2026-08-16,"60% throughout, No active backlogs",68,"Python, SQL, DSA",2026-08-06,placement23@svit.edu.in,Upcoming
P024,Accenture,BE,Information Technology,QA Engineer,10.1,Pune,2026-08-20,"60% throughout, No active backlogs",6,"Communication Skills, Aptitude",2026-08-15,placement24@svit.edu.in,Upcoming
P025,Tata Consultancy Services,ME,Computer Engineering,Network Engineer,6.1,Surat,2026-06-30,"70% throughout, No active backlogs",80,"Python, SQL, DSA",2026-06-20,placement25@svit.edu.in,Registration Open
P026,Wipro,BCA,Information Technology,Network Engineer,15.7,Hyderabad,2026-10-07,"65% throughout, No active backlogs",98,"AutoCAD, Design",2026-09-25,placement26@svit.edu.in,Registration Open
P027,Reliance Industries,ME,Civil Engineering,Full Stack Developer,6.7,Surat,2026-11-04,"70% throughout, No active backlogs",51,"AutoCAD, Design",2026-10-26,placement27@svit.edu.in,Registration Open
P028,Tata Consultancy Services,ME,Automobile Engineering,Mechanical Engineer,9.8,Mumbai,2026-04-30,"70% throughout, No active backlogs",101,"PLC, Electrical Machines",2026-04-21,placement28@svit.edu.in,Upcoming
P029,LTIMindtree,ME,Civil Engineering,Cloud Engineer,3.9,Ahmedabad,2026-07-05,"70% throughout, No active backlogs",117,"PLC, Electrical Machines",2026-06-22,placement29@svit.edu.in,Completed
P030,NVIDIA,MCA,Artificial Intelligence & Machine Learning,AI/ML Intern,7.5,Ahmedabad,2026-11-12,"60% throughout, No active backlogs",37,"C++, Algorithms",2026-11-07,placement30@svit.edu.in,Registration Open
P031,Wipro,BE,Automobile Engineering,Software Engineer,7.2,Pune,2026-05-19,"60% throughout, No active backlogs",106,"PLC, Electrical Machines",2026-05-09,placement31@svit.edu.in,Registration Open
P032,Amazon,ME,Automobile Engineering,Data Analyst,13.5,Pune,2026-07-10,"65% throughout, No active backlogs",111,"AutoCAD, Design",2026-06-25,placement32@svit.edu.in,Registration Open
P033,Google,BE,Data Science,Civil Engineer,5.1,Hyderabad,2026-06-06,"60% throughout, No active backlogs",7,"PLC, Electrical Machines",2026-06-03,placement33@svit.edu.in,Registration Open
P034,Google,BCA,Electrical Engineering,Full Stack Developer,9.1,Ahmedabad,2026-02-07,"60% throughout, No active backlogs",101,"Communication Skills, Aptitude",2026-01-23,placement34@svit.edu.in,Completed
P035,Siemens,ME,Data Science,Network Engineer,8.8,Bengaluru,2026-10-03,"70% throughout, No active backlogs",112,"AutoCAD, Design",2026-09-22,placement35@svit.edu.in,Upcoming
P036,NVIDIA,BE,Information Technology,Network Engineer,7.3,Bengaluru,2026-02-22,"65% throughout, No active backlogs",79,"C++, Algorithms",2026-02-10,placement36@svit.edu.in,Registration Open
P037,Adani Group,BCA,Civil Engineering,Cloud Engineer,6.7,Pune,2026-08-14,"70% throughout, No active backlogs",52,"Python, SQL, DSA",2026-07-31,placement37@svit.edu.in,Registration Open
P038,NVIDIA,Diploma,Computer Applications,Civil Engineer,10.6,Bengaluru,2026-01-17,"65% throughout, No active backlogs",67,"PLC, Electrical Machines",2026-01-04,placement38@svit.edu.in,Completed
P039,Reliance Industries,ME,Information Technology,Mechanical Engineer,9.2,Ahmedabad,2026-10-15,"60% throughout, No active backlogs",61,"Communication Skills, Aptitude",2026-10-05,placement39@svit.edu.in,Upcoming
P040,Google,ME,Computer Applications,Cloud Engineer,7.5,Hyderabad,2026-11-26,"65% throughout, No active backlogs",39,"Python, SQL, DSA",2026-11-15,placement40@svit.edu.in,Registration Open
P041,Siemens,Diploma,Computer Applications,Mechanical Engineer,12.4,Vadodara,2026-11-22,"70% throughout, No active backlogs",81,"Java, OOP, DBMS",2026-11-13,placement41@svit.edu.in,Upcoming
P042,IBM,ME,Information Technology,Full Stack Developer,11.1,Surat,2026-09-19,"70% throughout, No active backlogs",95,"C++, Algorithms",2026-09-15,placement42@svit.edu.in,Completed
P043,Amazon,MCA,Computer Engineering,AI/ML Intern,5.7,Hyderabad,2026-01-28,"65% throughout, No active backlogs",108,"Communication Skills, Aptitude",2026-01-16,placement43@svit.edu.in,Registration Open
P044,Amazon,Diploma,Civil Engineering,Data Analyst,7.2,Pune,2026-10-19,"65% throughout, No active backlogs",36,"AutoCAD, Design",2026-10-15,placement44@svit.edu.in,Completed
P045,Accenture,Diploma,Mechanical Engineering,Cloud Engineer,14.8,Hyderabad,2026-04-07,"70% throughout, No active backlogs",19,"AutoCAD, Design",2026-04-03,placement45@svit.edu.in,Completed
P046,NVIDIA,MCA,Electronics & Communication,Full Stack Developer,9.7,Mumbai,2026-02-18,"60% throughout, No active backlogs",59,"PLC, Electrical Machines",2026-02-05,placement46@svit.edu.in,Registration Open
P047,Microsoft,BCA,Artificial Intelligence & Machine Learning,Graduate Engineer Trainee,11.3,Pune,2026-04-06,"60% throughout, No active backlogs",106,"Java, OOP, DBMS",2026-03-31,placement47@svit.edu.in,Upcoming
P048,Capgemini,MCA,Information Technology,Electrical Engineer,11.9,Mumbai,2026-08-23,"60% throughout, No active backlogs",20,"Java, OOP, DBMS",2026-08-13,placement48@svit.edu.in,Registration Open
P049,HCLTech,BE,Artificial Intelligence & Machine Learning,Mechanical Engineer,17.1,Hyderabad,2026-08-05,"60% throughout, No active backlogs",9,"C++, Algorithms",2026-07-25,placement49@svit.edu.in,Registration Open
P050,Adani Group,ME,Artificial Intelligence & Machine Learning,Cloud Engineer,12.9,Gandhinagar,2026-01-19,"65% throughout, No active backlogs",50,"PLC, Electrical Machines",2026-01-16,placement50@svit.edu.in,Completed
P051,Siemens,Diploma,Electrical Engineering,Cloud Engineer,8.8,Hyderabad,2026-05-06,"70% throughout, No active backlogs",88,"Communication Skills, Aptitude",2026-04-28,placement51@svit.edu.in,Completed
P052,Wipro,BE,Data Science,Electrical Engineer,11.9,Pune,2026-11-06,"60% throughout, No active backlogs",73,"AutoCAD, Design",2026-11-02,placement52@svit.edu.in,Upcoming
P053,Oracle,MCA,Artificial Intelligence & Machine Learning,Full Stack Developer,6.6,Bengaluru,2026-02-11,"65% throughout, No active backlogs",24,"Python, SQL, DSA",2026-02-01,placement53@svit.edu.in,Completed
P054,Reliance Industries,BCA,Civil Engineering,Electrical Engineer,9.2,Gandhinagar,2026-04-23,"65% throughout, No active backlogs",36,"C++, Algorithms",2026-04-18,placement54@svit.edu.in,Upcoming
P055,Amazon,MCA,Civil Engineering,AI/ML Intern,9.1,Bengaluru,2026-09-07,"65% throughout, No active backlogs",61,"PLC, Electrical Machines",2026-08-25,placement55@svit.edu.in,Registration Open
P056,Reliance Industries,ME,Artificial Intelligence & Machine Learning,Cloud Engineer,6.0,Hyderabad,2026-04-26,"70% throughout, No active backlogs",102,"PLC, Electrical Machines",2026-04-20,placement56@svit.edu.in,Completed
P057,Tata Consultancy Services,BCA,Computer Engineering,Business Analyst,15.2,Bengaluru,2026-01-26,"70% throughout, No active backlogs",107,"C++, Algorithms",2026-01-15,placement57@svit.edu.in,Completed
P058,Adani Group,MCA,Civil Engineering,Data Analyst,3.8,Hyderabad,2026-10-03,"60% throughout, No active backlogs",117,"C++, Algorithms",2026-09-30,placement58@svit.edu.in,Registration Open
P059,Google,BCA,Data Science,Electrical Engineer,16.8,Surat,2026-08-06,"60% throughout, No active backlogs",9,"Python, SQL, DSA",2026-08-03,placement59@svit.edu.in,Upcoming
P060,Adani Group,Diploma,Electrical Engineering,Network Engineer,4.1,Hyderabad,2026-09-08,"70% throughout, No active backlogs",98,"PLC, Electrical Machines",2026-08-24,placement60@svit.edu.in,Upcoming
P061,HCLTech,BCA,Mechanical Engineering,Graduate Engineer Trainee,14.4,Surat,2026-06-11,"60% throughout, No active backlogs",24,"Communication Skills, Aptitude",2026-06-03,placement61@svit.edu.in,Completed
P062,Oracle,BCA,Computer Engineering,Electrical Engineer,17.1,Ahmedabad,2026-01-06,"70% throughout, No active backlogs",88,"Communication Skills, Aptitude",2025-12-23,placement62@svit.edu.in,Completed
P063,IBM,BE,Electronics & Communication,QA Engineer,13.7,Gandhinagar,2026-01-31,"70% throughout, No active backlogs",73,"PLC, Electrical Machines",2026-01-20,placement63@svit.edu.in,Completed
P064,Adani Group,ME,Civil Engineering,Network Engineer,16.0,Vadodara,2026-10-26,"65% throughout, No active backlogs",90,"AutoCAD, Design",2026-10-19,placement64@svit.edu.in,Completed
P065,Tata Consultancy Services,MCA,Computer Engineering,Data Analyst,17.8,Mumbai,2026-09-06,"70% throughout, No active backlogs",16,"Communication Skills, Aptitude",2026-08-23,placement65@svit.edu.in,Completed
P066,Infosys,MCA,Civil Engineering,Electrical Engineer,11.5,Pune,2026-02-04,"70% throughout, No active backlogs",68,"AutoCAD, Design",2026-01-31,placement66@svit.edu.in,Upcoming
P067,Tata Consultancy Services,MCA,Computer Engineering,Business Analyst,5.8,Hyderabad,2026-02-27,"70% throughout, No active backlogs",71,"Python, SQL, DSA",2026-02-21,placement67@svit.edu.in,Upcoming
P068,Amazon,MCA,Electrical Engineering,QA Engineer,16.9,Pune,2026-02-03,"60% throughout, No active backlogs",58,"Python, SQL, DSA",2026-01-31,placement68@svit.edu.in,Upcoming
P069,Amazon,MCA,Information Technology,AI/ML Intern,11.5,Vadodara,2026-03-26,"60% throughout, No active backlogs",8,"Java, OOP, DBMS",2026-03-21,placement69@svit.edu.in,Registration Open
P070,LTIMindtree,BCA,Electrical Engineering,Mechanical Engineer,6.3,Mumbai,2026-03-10,"70% throughout, No active backlogs",20,"Python, SQL, DSA",2026-02-28,placement70@svit.edu.in,Registration Open
P071,Adani Group,Diploma,Computer Applications,QA Engineer,9.8,Pune,2026-07-22,"60% throughout, No active backlogs",89,"C++, Algorithms",2026-07-16,placement71@svit.edu.in,Upcoming
P072,HCLTech,ME,Computer Applications,Mechanical Engineer,15.9,Hyderabad,2026-02-09,"60% throughout, No active backlogs",98,"Python, SQL, DSA",2026-01-31,placement72@svit.edu.in,Upcoming
P073,Cognizant,MCA,Computer Applications,Cloud Engineer,17.4,Bengaluru,2026-10-10,"65% throughout, No active backlogs",38,"Communication Skills, Aptitude",2026-09-25,placement73@svit.edu.in,Completed
P074,Siemens,BE,Electrical Engineering,Business Analyst,5.6,Surat,2026-05-29,"65% throughout, No active backlogs",18,"Python, SQL, DSA",2026-05-18,placement74@svit.edu.in,Completed
P075,Capgemini,Diploma,Electrical Engineering,Mechanical Engineer,5.2,Mumbai,2026-01-28,"65% throughout, No active backlogs",46,"Communication Skills, Aptitude",2026-01-22,placement75@svit.edu.in,Registration Open
P076,Oracle,Diploma,Computer Applications,Civil Engineer,5.4,Gandhinagar,2026-01-24,"60% throughout, No active backlogs",60,"PLC, Electrical Machines",2026-01-10,placement76@svit.edu.in,Registration Open
P077,Reliance Industries,MCA,Automobile Engineering,Full Stack Developer,13.7,Ahmedabad,2026-01-30,"60% throughout, No active backlogs",14,"Java, OOP, DBMS",2026-01-17,placement77@svit.edu.in,Upcoming
P078,Google,Diploma,Electrical Engineering,Business Analyst,10.6,Mumbai,2026-06-10,"60% throughout, No active backlogs",72,"Python, SQL, DSA",2026-05-28,placement78@svit.edu.in,Completed
P079,IBM,MCA,Electronics & Communication,Mechanical Engineer,12.4,Surat,2026-02-04,"65% throughout, No active backlogs",114,"C++, Algorithms",2026-01-20,placement79@svit.edu.in,Completed
P080,Tata Consultancy Services,Diploma,Computer Engineering,Cloud Engineer,8.3,Gandhinagar,2026-10-31,"65% throughout, No active backlogs",110,"Communication Skills, Aptitude",2026-10-17,placement80@svit.edu.in,Upcoming
P081,Capgemini,Diploma,Automobile Engineering,Software Engineer,14.7,Mumbai,2026-05-06,"60% throughout, No active backlogs",110,"Communication Skills, Aptitude",2026-04-27,placement81@svit.edu.in,Upcoming
P082,Adani Group,ME,Automobile Engineering,Cloud Engineer,5.9,Vadodara,2026-08-02,"70% throughout, No active backlogs",75,"Python, SQL, DSA",2026-07-21,placement82@svit.edu.in,Upcoming
P083,NVIDIA,ME,Information Technology,Civil Engineer,9.9,Mumbai,2026-05-21,"65% throughout, No active backlogs",51,"Java, OOP, DBMS",2026-05-09,placement83@svit.edu.in,Registration Open
P084,Capgemini,BE,Electrical Engineering,Civil Engineer,10.8,Hyderabad,2026-05-13,"60% throughout, No active backlogs",54,"Python, SQL, DSA",2026-04-28,placement84@svit.edu.in,Upcoming
P085,Oracle,MCA,Data Science,Full Stack Developer,13.5,Gandhinagar,2026-07-04,"60% throughout, No active backlogs",60,"PLC, Electrical Machines",2026-06-24,placement85@svit.edu.in,Upcoming
P086,Cognizant,MCA,Automobile Engineering,Electrical Engineer,14.3,Surat,2026-02-13,"70% throughout, No active backlogs",44,"Communication Skills, Aptitude",2026-02-04,placement86@svit.edu.in,Registration Open
P087,Adani Group,ME,Electronics & Communication,Mechanical Engineer,11.3,Ahmedabad,2026-05-27,"70% throughout, No active backlogs",60,"Communication Skills, Aptitude",2026-05-24,placement87@svit.edu.in,Completed
P088,Larsen & Toubro,BCA,Artificial Intelligence & Machine Learning,Graduate Engineer Trainee,8.6,Surat,2026-02-15,"60% throughout, No active backlogs",14,"PLC, Electrical Machines",2026-02-03,placement88@svit.edu.in,Upcoming
P089,Wipro,MCA,Data Science,Software Engineer,9.2,Gandhinagar,2026-03-10,"65% throughout, No active backlogs",90,"Python, SQL, DSA",2026-03-04,placement89@svit.edu.in,Registration Open
P090,Amazon,Diploma,Artificial Intelligence & Machine Learning,Cloud Engineer,6.9,Surat,2026-08-21,"70% throughout, No active backlogs",43,"AutoCAD, Design",2026-08-17,placement90@svit.edu.in,Completed
P091,NVIDIA,Diploma,Computer Applications,Electrical Engineer,9.9,Vadodara,2026-11-12,"70% throughout, No active backlogs",91,"Java, OOP, DBMS",2026-11-08,placement91@svit.edu.in,Upcoming
P092,Reliance Industries,BE,Computer Applications,Civil Engineer,9.8,Pune,2026-02-16,"60% throughout, No active backlogs",36,"Java, OOP, DBMS",2026-02-10,placement92@svit.edu.in,Registration Open
P093,Accenture,BCA,Electrical Engineering,Graduate Engineer Trainee,4.1,Mumbai,2026-04-01,"65% throughout, No active backlogs",47,"C++, Algorithms",2026-03-19,placement93@svit.edu.in,Registration Open
P094,Tech Mahindra,Diploma,Electronics & Communication,Full Stack Developer,10.8,Bengaluru,2026-09-07,"60% throughout, No active backlogs",88,"AutoCAD, Design",2026-08-24,placement94@svit.edu.in,Upcoming
P095,Infosys,MCA,Computer Engineering,Electrical Engineer,8.8,Pune,2026-09-09,"60% throughout, No active backlogs",10,"Python, SQL, DSA",2026-08-26,placement95@svit.edu.in,Upcoming
P096,NVIDIA,BE,Computer Engineering,Software Engineer,6.8,Mumbai,2026-07-04,"70% throughout, No active backlogs",15,"Python, SQL, DSA",2026-06-26,placement96@svit.edu.in,Completed
P097,Microsoft,ME,Computer Applications,Cloud Engineer,17.3,Vadodara,2026-10-12,"60% throughout, No active backlogs",77,"PLC, Electrical Machines",2026-09-30,placement97@svit.edu.in,Completed
P098,Infosys,BE,Computer Applications,Mechanical Engineer,11.1,Vadodara,2026-03-01,"65% throughout, No active backlogs",10,"Java, OOP, DBMS",2026-02-17,placement98@svit.edu.in,Registration Open
P099,Tech Mahindra,MCA,Civil Engineering,Mechanical Engineer,5.4,Pune,2026-08-23,"70% throughout, No active backlogs",77,"PLC, Electrical Machines",2026-08-10,placement99@svit.edu.in,Upcoming
P100,Infosys,Diploma,Mechanical Engineering,Business Analyst,6.8,Surat,2026-07-19,"60% throughout, No active backlogs",114,"Python, SQL, DSA",2026-07-11,placement100@svit.edu.in,Registration Open
P101,Siemens,ME,Civil Engineering,Electrical Engineer,13.9,Hyderabad,2026-07-16,"70% throughout, No active backlogs",58,"AutoCAD, Design",2026-07-05,placement101@svit.edu.in,Upcoming
P102,Reliance Industries,BE,Civil Engineering,Data Analyst,7.9,Mumbai,2026-01-06,"70% throughout, No active backlogs",11,"PLC, Electrical Machines",2025-12-24,placement102@svit.edu.in,Registration Open
P103,IBM,Diploma,Computer Applications,Full Stack Developer,4.4,Mumbai,2026-08-04,"60% throughout, No active backlogs",58,"Communication Skills, Aptitude",2026-08-01,placement103@svit.edu.in,Upcoming
P104,Google,BCA,Mechanical Engineering,Network Engineer,11.1,Mumbai,2026-08-12,"70% throughout, No active backlogs",112,"Communication Skills, Aptitude",2026-07-31,placement104@svit.edu.in,Completed
P105,LTIMindtree,Diploma,Civil Engineering,Graduate Engineer Trainee,11.8,Ahmedabad,2026-10-16,"65% throughout, No active backlogs",65,"Communication Skills, Aptitude",2026-10-06,placement105@svit.edu.in,Upcoming
P106,Oracle,Diploma,Data Science,QA Engineer,4.3,Surat,2026-02-13,"65% throughout, No active backlogs",29,"Java, OOP, DBMS",2026-01-31,placement106@svit.edu.in,Registration Open
P107,Reliance Industries,MCA,Civil Engineering,Civil Engineer,7.4,Vadodara,2026-03-30,"60% throughout, No active backlogs",50,"AutoCAD, Design",2026-03-21,placement107@svit.edu.in,Registration Open
P108,Reliance Industries,Diploma,Electrical Engineering,Electrical Engineer,5.1,Pune,2026-02-20,"70% throughout, No active backlogs",96,"Python, SQL, DSA",2026-02-11,placement108@svit.edu.in,Registration Open
P109,Accenture,Diploma,Electrical Engineering,Software Engineer,17.5,Mumbai,2026-11-10,"60% throughout, No active backlogs",43,"Java, OOP, DBMS",2026-10-29,placement109@svit.edu.in,Completed
P110,Wipro,BCA,Automobile Engineering,Graduate Engineer Trainee,12.8,Mumbai,2026-08-23,"65% throughout, No active backlogs",82,"Java, OOP, DBMS",2026-08-17,placement110@svit.edu.in,Registration Open
P111,Oracle,MCA,Electronics & Communication,Electrical Engineer,16.3,Gandhinagar,2026-11-16,"60% throughout, No active backlogs",101,"PLC, Electrical Machines",2026-11-03,placement111@svit.edu.in,Completed
P112,Cognizant,ME,Computer Engineering,Cloud Engineer,5.0,Hyderabad,2026-01-26,"70% throughout, No active backlogs",87,"PLC, Electrical Machines",2026-01-20,placement112@svit.edu.in,Upcoming
P113,Siemens,BCA,Computer Applications,Mechanical Engineer,7.5,Mumbai,2026-11-09,"60% throughout, No active backlogs",87,"Communication Skills, Aptitude",2026-10-29,placement113@svit.edu.in,Upcoming
P114,IBM,MCA,Civil Engineering,Graduate Engineer Trainee,13.4,Vadodara,2026-02-13,"60% throughout, No active backlogs",56,"Python, SQL, DSA",2026-01-30,placement114@svit.edu.in,Upcoming
P115,Tech Mahindra,MCA,Civil Engineering,Civil Engineer,11.8,Pune,2026-10-30,"65% throughout, No active backlogs",83,"Communication Skills, Aptitude",2026-10-24,placement115@svit.edu.in,Registration Open
P116,Accenture,Diploma,Electrical Engineering,Electrical Engineer,3.9,Bengaluru,2026-02-23,"60% throughout, No active backlogs",6,"AutoCAD, Design",2026-02-14,placement116@svit.edu.in,Completed
P117,Wipro,BE,Artificial Intelligence & Machine Learning,Graduate Engineer Trainee,10.9,Vadodara,2026-11-17,"65% throughout, No active backlogs",84,"AutoCAD, Design",2026-11-07,placement117@svit.edu.in,Registration Open
P118,Tata Consultancy Services,Diploma,Civil Engineering,Software Engineer,3.8,Ahmedabad,2026-06-19,"70% throughout, No active backlogs",96,"AutoCAD, Design",2026-06-05,placement118@svit.edu.in,Upcoming
P119,Bosch,MCA,Mechanical Engineering,Network Engineer,4.1,Ahmedabad,2026-01-19,"70% throughout, No active backlogs",68,"Python, SQL, DSA",2026-01-12,placement119@svit.edu.in,Upcoming
P120,Capgemini,ME,Mechanical Engineering,Software Engineer,14.3,Gandhinagar,2026-02-04,"65% throughout, No active backlogs",108,"Python, SQL, DSA",2026-01-27,placement120@svit.edu.in,Registration Open
P121,Adani Group,MCA,Electronics & Communication,Civil Engineer,10.9,Hyderabad,2026-04-29,"60% throughout, No active backlogs",51,"PLC, Electrical Machines",2026-04-24,placement121@svit.edu.in,Registration Open
P122,Siemens,Diploma,Artificial Intelligence & Machine Learning,Graduate Engineer Trainee,4.9,Gandhinagar,2026-06-24,"60% throughout, No active backlogs",62,"Communication Skills, Aptitude",2026-06-13,placement122@svit.edu.in,Upcoming
P123,LTIMindtree,Diploma,Automobile Engineering,Mechanical Engineer,10.8,Ahmedabad,2026-11-02,"70% throughout, No active backlogs",84,"Communication Skills, Aptitude",2026-10-26,placement123@svit.edu.in,Upcoming
P124,Wipro,ME,Electronics & Communication,Graduate Engineer Trainee,4.1,Pune,2026-01-30,"60% throughout, No active backlogs",83,"Communication Skills, Aptitude",2026-01-19,placement124@svit.edu.in,Registration Open
P125,Wipro,BE,Electronics & Communication,QA Engineer,9.2,Vadodara,2026-03-08,"70% throughout, No active backlogs",74,"Python, SQL, DSA",2026-02-25,placement125@svit.edu.in,Registration Open
P126,Amazon,Diploma,Information Technology,Data Analyst,12.2,Mumbai,2026-09-07,"65% throughout, No active backlogs",96,"PLC, Electrical Machines",2026-08-24,placement126@svit.edu.in,Completed
P127,Larsen & Toubro,BCA,Civil Engineering,Electrical Engineer,8.2,Hyderabad,2026-04-30,"65% throughout, No active backlogs",46,"Java, OOP, DBMS",2026-04-27,placement127@svit.edu.in,Completed
P128,Siemens,Diploma,Mechanical Engineering,QA Engineer,10.9,Gandhinagar,2026-11-13,"70% throughout, No active backlogs",51,"PLC, Electrical Machines",2026-11-10,placement128@svit.edu.in,Completed
P129,IBM,BCA,Mechanical Engineering,QA Engineer,11.4,Surat,2026-04-23,"70% throughout, No active backlogs",65,"Communication Skills, Aptitude",2026-04-13,placement129@svit.edu.in,Registration Open
P130,Tech Mahindra,ME,Data Science,Graduate Engineer Trainee,8.0,Mumbai,2026-09-08,"65% throughout, No active backlogs",26,"PLC, Electrical Machines",2026-09-03,placement130@svit.edu.in,Completed
P131,Google,Diploma,Information Technology,Graduate Engineer Trainee,8.2,Mumbai,2026-09-26,"70% throughout, No active backlogs",18,"AutoCAD, Design",2026-09-22,placement131@svit.edu.in,Registration Open
P132,Oracle,MCA,Electronics & Communication,AI/ML Intern,11.8,Mumbai,2026-04-13,"70% throughout, No active backlogs",119,"C++, Algorithms",2026-04-01,placement132@svit.edu.in,Upcoming
P133,Larsen & Toubro,BCA,Electrical Engineering,QA Engineer,17.4,Ahmedabad,2026-07-31,"65% throughout, No active backlogs",57,"AutoCAD, Design",2026-07-17,placement133@svit.edu.in,Registration Open
P134,Tech Mahindra,Diploma,Automobile Engineering,Business Analyst,10.5,Gandhinagar,2026-08-01,"60% throughout, No active backlogs",104,"Java, OOP, DBMS",2026-07-23,placement134@svit.edu.in,Upcoming
P135,Oracle,MCA,Information Technology,Cloud Engineer,14.0,Mumbai,2026-08-20,"70% throughout, No active backlogs",15,"PLC, Electrical Machines",2026-08-12,placement135@svit.edu.in,Registration Open
P136,Infosys,BE,Electronics & Communication,Network Engineer,4.7,Surat,2026-04-27,"70% throughout, No active backlogs",116,"AutoCAD, Design",2026-04-19,placement136@svit.edu.in,Upcoming
P137,NVIDIA,BCA,Computer Engineering,Cloud Engineer,8.3,Surat,2026-08-27,"60% throughout, No active backlogs",104,"Python, SQL, DSA",2026-08-14,placement137@svit.edu.in,Upcoming
P138,NVIDIA,MCA,Computer Applications,Electrical Engineer,3.6,Ahmedabad,2026-01-03,"70% throughout, No active backlogs",10,"Python, SQL, DSA",2025-12-25,placement138@svit.edu.in,Completed
