event_id,event_name,category,department,program,event_date,start_time,end_time,venue,organizer,speaker_or_guest,registration_required,capacity,description,status
E028,Startup Expo,Entrepreneurship,Electrical Engineering,BE,2026-01-03,02:00,12:00,Library Hall,Department Faculty,Industry Expert,Yes,491,Startup Expo organized for students to enhance skills and participation.,Registration Open
E029,Startup Expo,Entrepreneurship,Electronics & Communication,Diploma,2026-02-10,10:00,12:00,Innovation Center,Cultural Committee,Guest Speaker,No,358,Startup Expo organized for students to enhance skills and participation.,Completed
E030,Cricket Tournament,Sports,Artificial Intelligence & Machine Learning,All,2026-09-04,09:00,05:00,Sports Complex,Training & Placement Cell,Startup Founder,No,453,Cricket Tournament organized for students to enhance skills and participation.,Registration Open
E031,Startup Expo,Entrepreneurship,Automobile Engineering,MCA,2026-11-15,02:00,04:00,Conference Hall,Department Faculty,Alumni,No,182,Startup Expo organized for students to enhance skills and participation.,Upcoming
E032,Placement Drive,Placement,Computer Applications,BCA,2026-02-04,09:00,05:00,Seminar Hall,Innovation Club,Guest Speaker,No,346,Placement Drive organized for students to enhance skills and participation.,Upcoming
E033,Alumni Meet,Networking,Computer Engineering,BE,2026-05-08,02:00,12:00,Conference Hall,Sports Committee,Industry Expert,Yes,119,Alumni Meet organized for students to enhance skills and participation.,Registration Open
E034,Badminton Championship,Sports,Electronics & Communication,All,2026-08-28,11:00,04:00,Main Auditorium,Sports Committee,Alumni,Yes,293,Badminton Championship organized for students to enhance skills and participation.,Registration Open
E035,Malhar Cultural Fest,Cultural,All,ME,2026-03-24,02:00,01:00,Main Auditorium,Cultural Committee,Industry Expert,Yes,192,Malhar Cultural Fest organized for students to enhance skills and participation.,Upcoming
E036,Resume Building Session,Placement,Computer Applications,All,2026-09-26,11:00,04:00,Conference Hall,Department Faculty,Guest Speaker,Yes,204,Resume Building Session organized for students to enhance skills and participation.,Upcoming
E037,Startup Expo,Entrepreneurship,Computer Applications,Diploma,2026-11-20,09:00,01:00,Conference Hall,Sports Committee,Alumni,Yes,140,Startup Expo organized for students to enhance skills and participation.,Registration Open
E038,Robotics Competition,Technical,Artificial Intelligence & Machine Learning,ME,2026-07-09,11:00,04:00,Library Hall,Cultural Committee,Industry Expert,Yes,56,Robotics Competition organized for students to enhance skills and participation.,Registration Open
E039,Cricket Tournament,Sports,Computer Applications,BCA,2026-03-30,02:00,04:00,AI Lab,Training & Placement Cell,Faculty,No,218,Cricket Tournament organized for students to enhance skills and participation.,Upcoming
E040,Prakarsh AI & Technology Fest,Technical,Electronics & Communication,BCA,2026-01-13,09:00,12:00,AI Lab,Cultural Committee,Guest Speaker,Yes,394,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Upcoming
E041,Startup Expo,Entrepreneurship,Artificial Intelligence & Machine Learning,Diploma,2026-11-04,09:00,04:00,Main Auditorium,CSI Student Chapter,Industry Expert,No,175,Startup Expo organized for students to enhance skills and participation.,Upcoming
E042,Tree Plantation Drive,Social,Computer Engineering,All,2026-09-18,09:00,12:00,Computer Lab 1,Innovation Club,Faculty,No,272,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E043,Malhar Cultural Fest,Cultural,Electrical Engineering,ME,2026-07-26,11:00,12:00,Library Hall,Innovation Club,Faculty,No,499,Malhar Cultural Fest organized for students to enhance skills and participation.,Completed
E044,Sports Week,Sports,Data Science,Diploma,2026-01-24,09:00,05:00,Sports Complex,Training & Placement Cell,Industry Expert,Yes,490,Sports Week organized for students to enhance skills and participation.,Registration Open
E045,Startup Expo,Entrepreneurship,Mechanical Engineering,MCA,2026-06-09,10:00,01:00,Open Ground,Department Faculty,Faculty,No,185,Startup Expo organized for students to enhance skills and participation.,Completed
E046,Resume Building Session,Placement,Computer Applications,MCA,2026-07-26,02:00,01:00,Sports Complex,Department Faculty,Startup Founder,No,138,Resume Building Session organized for students to enhance skills and participation.,Upcoming
E047,Tree Plantation Drive,Social,All,ME,2026-09-24,09:00,12:00,Main Auditorium,Innovation Club,Faculty,Yes,237,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E048,Python Bootcamp,Workshop,Data Science,Diploma,2026-01-12,09:00,01:00,Campus Plaza,Cultural Committee,Alumni,No,208,Python Bootcamp organized for students to enhance skills and participation.,Upcoming
E049,Music Concert,Cultural,All,ME,2026-09-09,10:00,04:00,AI Lab,IEEE Student Branch,Faculty,Yes,337,Music Concert organized for students to enhance skills and participation.,Upcoming
E050,Badminton Championship,Sports,Automobile Engineering,All,2026-09-13,09:00,12:00,Innovation Center,Innovation Club,Alumni,No,353,Badminton Championship organized for students to enhance skills and participation.,Upcoming
E051,Industry Expert Talk,Seminar,Mechanical Engineering,ME,2026-01-10,11:00,04:00,Conference Hall,Training & Placement Cell,Alumni,No,115,Industry Expert Talk organized for students to enhance skills and participation.,Upcoming
E052,Alumni Meet,Networking,Electronics & Communication,ME,2026-06-14,11:00,01:00,Open Ground,Training & Placement Cell,Guest Speaker,Yes,109,Alumni Meet organized for students to enhance skills and participation.,Upcoming
E053,Prakarsh AI & Technology Fest,Technical,Information Technology,BE,2026-04-19,02:00,04:00,Innovation Center,IEEE Student Branch,Industry Expert,No,84,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Completed
E054,Python Bootcamp,Workshop,Information Technology,BE,2026-08-27,10:00,01:00,Library Hall,IEEE Student Branch,Industry Expert,No,206,Python Bootcamp organized for students to enhance skills and participation.,Registration Open
E055,Placement Drive,Placement,Data Science,BE,2026-08-24,09:00,12:00,Library Hall,Department Faculty,Startup Founder,Yes,170,Placement Drive organized for students to enhance skills and participation.,Completed
E056,Music Concert,Cultural,Electronics & Communication,ME,2026-09-09,02:00,04:00,Open Ground,IEEE Student Branch,Alumni,Yes,318,Music Concert organized for students to enhance skills and participation.,Upcoming
E057,Placement Drive,Placement,Data Science,ME,2026-08-15,02:00,05:00,Library Hall,Innovation Club,Guest Speaker,No,402,Placement Drive organized for students to enhance skills and participation.,Completed
E058,Football League,Sports,Computer Engineering,Diploma,2026-09-18,09:00,01:00,AI Lab,Cultural Committee,Faculty,No,422,Football League organized for students to enhance skills and participation.,Registration Open
E059,Music Concert,Cultural,Data Science,MCA,2026-07-11,09:00,12:00,Open Ground,IEEE Student Branch,Guest Speaker,Yes,482,Music Concert organized for students to enhance skills and participation.,Registration Open
E060,Robotics Competition,Technical,Computer Applications,ME,2026-09-15,11:00,05:00,AI Lab,Sports Committee,Alumni,Yes,65,Robotics Competition organized for students to enhance skills and participation.,Registration Open
E061,Malhar Cultural Fest,Cultural,Data Science,ME,2026-08-06,10:00,01:00,Seminar Hall,IEEE Student Branch,Faculty,Yes,271,Malhar Cultural Fest organized for students to enhance skills and participation.,Registration Open
E062,Alumni Meet,Networking,Computer Applications,All,2026-08-14,11:00,12:00,Innovation Center,IEEE Student Branch,Industry Expert,Yes,319,Alumni Meet organized for students to enhance skills and participation.,Upcoming
E063,Garba Night,Cultural,All,MCA,2026-02-10,02:00,12:00,Innovation Center,Cultural Committee,Industry Expert,Yes,307,Garba Night organized for students to enhance skills and participation.,Completed
E064,Alumni Meet,Networking,Mechanical Engineering,MCA,2026-04-17,10:00,01:00,Library Hall,CSI Student Chapter,Faculty,No,69,Alumni Meet organized for students to enhance skills and participation.,Registration Open
E065,AI Workshop,Workshop,Data Science,BE,2026-01-14,09:00,12:00,Sports Complex,Sports Committee,Alumni,No,113,AI Workshop organized for students to enhance skills and participation.,Registration Open
E066,Badminton Championship,Sports,Artificial Intelligence & Machine Learning,BCA,2026-10-21,02:00,05:00,Sports Complex,Innovation Club,Guest Speaker,Yes,398,Badminton Championship organized for students to enhance skills and participation.,Registration Open
E067,Python Bootcamp,Workshop,Information Technology,BCA,2026-01-07,02:00,05:00,Computer Lab 1,Training & Placement Cell,Alumni,Yes,483,Python Bootcamp organized for students to enhance skills and participation.,Completed
E068,Hackathon 36 Hours,Technical,Data Science,Diploma,2026-09-24,09:00,04:00,Seminar Hall,Innovation Club,Startup Founder,No,262,Hackathon 36 Hours organized for students to enhance skills and participation.,Registration Open
E069,Garba Night,Cultural,Computer Applications,All,2026-01-27,10:00,01:00,Library Hall,Cultural Committee,Startup Founder,No,160,Garba Night organized for students to enhance skills and participation.,Upcoming
E070,AI Workshop,Workshop,Electrical Engineering,MCA,2026-04-14,02:00,12:00,Sports Complex,Sports Committee,Startup Founder,Yes,110,AI Workshop organized for students to enhance skills and participation.,Upcoming
E071,Cricket Tournament,Sports,Computer Engineering,BE,2026-01-27,10:00,04:00,Campus Plaza,CSI Student Chapter,Faculty,No,275,Cricket Tournament organized for students to enhance skills and participation.,Registration Open
E072,Sports Week,Sports,Data Science,All,2026-02-25,02:00,01:00,AI Lab,IEEE Student Branch,Industry Expert,Yes,74,Sports Week organized for students to enhance skills and participation.,Upcoming
E073,Industry Expert Talk,Seminar,Mechanical Engineering,BCA,2026-11-09,10:00,05:00,AI Lab,Cultural Committee,Startup Founder,Yes,412,Industry Expert Talk organized for students to enhance skills and participation.,Registration Open
E074,Robotics Competition,Technical,All,BE,2026-08-18,02:00,05:00,Open Ground,IEEE Student Branch,Alumni,Yes,275,Robotics Competition organized for students to enhance skills and participation.,Completed
E075,Garba Night,Cultural,Mechanical Engineering,ME,2026-09-07,11:00,01:00,AI Lab,Training & Placement Cell,Alumni,Yes,65,Garba Night organized for students to enhance skills and participation.,Registration Open
E076,Startup Expo,Entrepreneurship,Automobile Engineering,BCA,2026-08-13,11:00,05:00,Seminar Hall,Sports Committee,Alumni,No,316,Startup Expo organized for students to enhance skills and participation.,Completed
E077,AI Workshop,Workshop,Artificial Intelligence & Machine Learning,Diploma,2026-07-18,09:00,01:00,Innovation Center,Innovation Club,Industry Expert,No,345,AI Workshop organized for students to enhance skills and participation.,Completed
E078,AI Workshop,Workshop,Computer Engineering,Diploma,2026-10-22,10:00,12:00,Library Hall,Sports Committee,Guest Speaker,Yes,85,AI Workshop organized for students to enhance skills and participation.,Completed
E079,Tree Plantation Drive,Social,Computer Engineering,BCA,2026-08-18,10:00,12:00,Computer Lab 1,IEEE Student Branch,Startup Founder,No,370,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E080,Hackathon 36 Hours,Technical,Computer Applications,BE,2026-01-05,09:00,01:00,Computer Lab 1,Cultural Committee,Faculty,No,318,Hackathon 36 Hours organized for students to enhance skills and participation.,Completed
E081,Robotics Competition,Technical,Artificial Intelligence & Machine Learning,BCA,2026-10-09,11:00,04:00,Computer Lab 1,CSI Student Chapter,Faculty,Yes,364,Robotics Competition organized for students to enhance skills and participation.,Upcoming
E082,Industry Expert Talk,Seminar,Information Technology,Diploma,2026-01-14,02:00,12:00,Open Ground,IEEE Student Branch,Startup Founder,Yes,212,Industry Expert Talk organized for students to enhance skills and participation.,Upcoming
E083,Malhar Cultural Fest,Cultural,Computer Applications,ME,2026-02-14,10:00,01:00,Open Ground,Cultural Committee,Startup Founder,No,110,Malhar Cultural Fest organized for students to enhance skills and participation.,Upcoming
E084,Cricket Tournament,Sports,Computer Applications,MCA,2026-10-08,11:00,05:00,Conference Hall,Training & Placement Cell,Alumni,Yes,132,Cricket Tournament organized for students to enhance skills and participation.,Upcoming
E085,Cricket Tournament,Sports,Electrical Engineering,MCA,2026-03-17,02:00,01:00,Sports Complex,Training & Placement Cell,Startup Founder,No,130,Cricket Tournament organized for students to enhance skills and participation.,Upcoming
E086,Placement Drive,Placement,Information Technology,ME,2026-03-05,09:00,12:00,Campus Plaza,Innovation Club,Faculty,Yes,153,Placement Drive organized for students to enhance skills and participation.,Registration Open
E087,Industry Expert Talk,Seminar,Data Science,MCA,2026-01-25,10:00,05:00,Main Auditorium,Innovation Club,Industry Expert,Yes,322,Industry Expert Talk organized for students to enhance skills and participation.,Registration Open
E088,Hackathon 36 Hours,Technical,Artificial Intelligence & Machine Learning,MCA,2026-02-13,02:00,01:00,Sports Complex,Department Faculty,Faculty,Yes,421,Hackathon 36 Hours organized for students to enhance skills and participation.,Completed
E089,Prakarsh AI & Technology Fest,Technical,Computer Applications,Diploma,2026-03-02,02:00,12:00,Main Auditorium,IEEE Student Branch,Industry Expert,Yes,230,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Upcoming
E090,Malhar Cultural Fest,Cultural,Information Technology,BCA,2026-03-21,09:00,04:00,Computer Lab 1,Innovation Club,Startup Founder,No,194,Malhar Cultural Fest organized for students to enhance skills and participation.,Registration Open
E091,Alumni Meet,Networking,Data Science,BCA,2026-05-22,10:00,01:00,AI Lab,Department Faculty,Alumni,No,294,Alumni Meet organized for students to enhance skills and participation.,Upcoming
E092,Football League,Sports,Mechanical Engineering,MCA,2026-04-24,02:00,04:00,Sports Complex,Cultural Committee,Guest Speaker,No,67,Football League organized for students to enhance skills and participation.,Completed
E093,Cricket Tournament,Sports,Computer Engineering,BCA,2026-02-12,02:00,05:00,Seminar Hall,Department Faculty,Industry Expert,Yes,312,Cricket Tournament organized for students to enhance skills and participation.,Registration Open
E094,Football League,Sports,Civil Engineering,ME,2026-09-26,11:00,12:00,Sports Complex,Cultural Committee,Faculty,Yes,459,Football League organized for students to enhance skills and participation.,Completed
E095,Prakarsh AI & Technology Fest,Technical,Artificial Intelligence & Machine Learning,MCA,2026-10-01,02:00,04:00,Library Hall,CSI Student Chapter,Alumni,No,424,Prakarsh AI & Technology Fest organized for students to enhance skills and participation.,Registration Open
E096,Cricket Tournament,Sports,Artificial Intelligence & Machine Learning,MCA,2026-03-13,09:00,01:00,Computer Lab 1,CSI Student Chapter,Guest Speaker,Yes,397,Cricket Tournament organized for students to enhance skills and participation.,Upcoming
E097,Robotics Competition,Technical,Artificial Intelligence & Machine Learning,MCA,2026-01-23,11:00,12:00,Innovation Center,Cultural Committee,Industry Expert,Yes,470,Robotics Competition organized for students to enhance skills and participation.,Upcoming
E098,Garba Night,Cultural,Electronics & Communication,BCA,2026-03-06,10:00,01:00,Sports Complex,Department Faculty,Industry Expert,Yes,197,Garba Night organized for students to enhance skills and participation.,Upcoming
E099,Hackathon 36 Hours,Technical,Artificial Intelligence & Machine Learning,Diploma,2026-09-14,09:00,05:00,Main Auditorium,Department Faculty,Startup Founder,No,140,Hackathon 36 Hours organized for students to enhance skills and participation.,Completed
E100,Music Concert,Cultural,All,All,2026-10-17,02:00,04:00,Open Ground,Training & Placement Cell,Startup Founder,No,141,Music Concert organized for students to enhance skills and participation.,Upcoming
E101,Placement Drive,Placement,Mechanical Engineering,Diploma,2026-02-25,02:00,12:00,AI Lab,Innovation Club,Industry Expert,Yes,85,Placement Drive organized for students to enhance skills and participation.,Registration Open
E102,Tree Plantation Drive,Social,Civil Engineering,All,2026-03-26,11:00,05:00,Computer Lab 1,IEEE Student Branch,Alumni,No,139,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E103,Tree Plantation Drive,Social,Artificial Intelligence & Machine Learning,ME,2026-06-24,02:00,05:00,Main Auditorium,Training & Placement Cell,Guest Speaker,No,268,Tree Plantation Drive organized for students to enhance skills and participation.,Registration Open
E104,Badminton Championship,Sports,Data Science,All,2026-11-26,09:00,12:00,AI Lab,Department Faculty,Faculty,No,244,Badminton Championship organized for students to enhance skills and participation.,Completed
E105,Sports Week,Sports,Information Technology,BE,2026-04-21,11:00,04:00,Innovation Center,Sports Committee,Industry Expert,No,432,Sports Week organized for students to enhance skills and participation.,Upcoming
E106,Tree Plantation Drive,Social,All,ME,2026-04-04,09:00,05:00,Sports Complex,Cultural Committee,Guest Speaker,No,65,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
E107,Blood Donation Camp,Social,Computer Applications,ME,2026-03-11,10:00,05:00,Open Ground,Department Faculty,Industry Expert,No,215,Blood Donation Camp organized for students to enhance skills and participation.,Registration Open
E108,Robotics Competition,Technical,Artificial Intelligence & Machine Learning,BCA,2026-03-12,10:00,04:00,Conference Hall,Innovation Club,Alumni,No,371,Robotics Competition organized for students to enhance skills and participation.,Registration Open
E109,Cricket Tournament,Sports,Computer Engineering,BE,2026-10-28,10:00,01:00,Campus Plaza,Innovation Club,Faculty,Yes,383,Cricket Tournament organized for students to enhance skills and participation.,Completed
E110,Hackathon 36 Hours,Technical,Automobile Engineering,MCA,2026-07-09,09:00,04:00,Open Ground,IEEE Student Branch,Alumni,No,133,Hackathon 36 Hours organized for students to enhance skills and participation.,Registration Open
E111,Industry Expert Talk,Seminar,All,BCA,2026-04-28,11:00,01:00,Computer Lab 1,Sports Committee,Guest Speaker,No,470,Industry Expert Talk organized for students to enhance skills and participation.,Completed
E112,Malhar Cultural Fest,Cultural,Computer Engineering,BCA,2026-11-13,09:00,12:00,Innovation Center,Training & Placement Cell,Alumni,Yes,419,Malhar Cultural Fest organized for students to enhance skills and participation.,Upcoming
E113,Tree Plantation Drive,Social,Electronics & Communication,ME,2026-01-10,09:00,01:00,Innovation Center,Department Faculty,Alumni,Yes,197,Tree Plantation Drive organized for students to enhance skills and participation.,Upcoming
E114,Python Bootcamp,Workshop,Electrical Engineering,BCA,2026-03-05,02:00,01:00,Computer Lab 1,Training & Placement Cell,Guest Speaker,No,84,Python Bootcamp organized for students to enhance skills and participation.,Completed
E115,Placement Drive,Placement,Computer Engineering,MCA,2026-05-16,02:00,01:00,Conference Hall,IEEE Student Branch,Faculty,No,395,Placement Drive organized for students to enhance skills and participation.,Upcoming
E116,Hackathon 36 Hours,Technical,Computer Applications,MCA,2026-09-13,10:00,04:00,Sports Complex,Innovation Club,Startup Founder,No,117,Hackathon 36 Hours organized for students to enhance skills and participation.,Registration Open
E117,Alumni Meet,Networking,Mechanical Engineering,MCA,2026-05-15,09:00,01:00,Sports Complex,Sports Committee,Alumni,No,354,Alumni Meet organized for students to enhance skills and participation.,Completed
E118,Resume Building Session,Placement,Electrical Engineering,Diploma,2026-09-18,11:00,04:00,Innovation Center,CSI Student Chapter,Alumni,No,377,Resume Building Session organized for students to enhance skills and participation.,Upcoming
E119,Dance Competition,Cultural,Data Science,ME,2026-09-26,02:00,01:00,Main Auditorium,Sports Committee,Startup Founder,Yes,371,Dance Competition organized for students to enhance skills and participation.,Registration Open
E120,Tree Plantation Drive,Social,Computer Engineering,ME,2026-07-08,10:00,04:00,Campus Plaza,IEEE Student Branch,Guest Speaker,Yes,269,Tree Plantation Drive organized for students to enhance skills and participation.,Completed
