notice_id,title,category,department,program,priority,publish_date,expiry_date,description,attachment,status
N022,Internal Assessment Schedule,Academic,Electrical Engineering,All,Urgent,2026-06-19,2026-07-12,This notice is regarding internal assessment schedule. Students are requested to follow the instructions before the deadline.,notice_022.pdf,Upcoming
N023,Book Return Reminder,Library,Information Technology,MCA,Medium,2026-01-24,2026-02-08,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_023.pdf,Active
N024,Prakarsh Tech Fest,Cultural,Information Technology,ME,Urgent,2026-02-02,2026-02-15,This notice is regarding prakarsh tech fest. Students are requested to follow the instructions before the deadline.,notice_024.pdf,Active
N025,Practical Examination,Examination,Information Technology,BE,Medium,2026-05-24,2026-07-05,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_025.pdf,Upcoming
N026,Practical Examination,Examination,Civil Engineering,ME,High,2026-02-27,2026-04-09,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_026.pdf,Active
N027,Assignment Submission,Academic,Civil Engineering,BCA,Medium,2026-03-12,2026-04-20,This notice is regarding assignment submission. Students are requested to follow the instructions before the deadline.,notice_027.pdf,Upcoming
N028,Fee Payment Reminder,Administration,Computer Applications,Diploma,Urgent,2026-05-27,2026-06-13,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_028.pdf,Active
N029,Mid Semester Exam,Examination,Computer Applications,All,High,2026-06-14,2026-07-16,This notice is regarding mid semester exam. Students are requested to follow the instructions before the deadline.,notice_029.pdf,Upcoming
N030,Practical Examination,Examination,All,MCA,Low,2026-04-06,2026-04-19,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_030.pdf,Upcoming
N031,Scholarship Notice,Administration,Computer Engineering,BCA,Medium,2026-05-01,2026-06-08,This notice is regarding scholarship notice. Students are requested to follow the instructions before the deadline.,notice_031.pdf,Active
N032,Innovation Seminar,Seminar,Electrical Engineering,Diploma,Medium,2026-05-27,2026-06-08,This notice is regarding innovation seminar. Students are requested to follow the instructions before the deadline.,notice_032.pdf,Expired
N033,Career Guidance,Seminar,Electronics & Communication,Diploma,High,2026-03-10,2026-03-28,This notice is regarding career guidance. Students are requested to follow the instructions before the deadline.,notice_033.pdf,Expired
N034,Assignment Submission,Academic,All,BCA,High,2026-01-04,2026-01-29,This notice is regarding assignment submission. Students are requested to follow the instructions before the deadline.,notice_034.pdf,Active
N035,Prakarsh Tech Fest,Cultural,All,BE,High,2026-06-11,2026-07-25,This notice is regarding prakarsh tech fest. Students are requested to follow the instructions before the deadline.,notice_035.pdf,Expired
N036,Class Commencement,Academic,Electrical Engineering,Diploma,Medium,2026-06-05,2026-06-25,This notice is regarding class commencement. Students are requested to follow the instructions before the deadline.,notice_036.pdf,Active
N037,Chess Competition,Sports,All,BCA,High,2026-02-19,2026-03-11,This notice is regarding chess competition. Students are requested to follow the instructions before the deadline.,notice_037.pdf,Upcoming
N038,Sports Week,Sports,Information Technology,BE,High,2026-06-26,2026-08-02,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_038.pdf,Upcoming
N039,Malhar Cultural Fest,Cultural,Artificial Intelligence & Machine Learning,ME,High,2026-04-06,2026-04-19,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_039.pdf,Active
N040,Cricket Tournament,Sports,Civil Engineering,Diploma,Low,2026-07-03,2026-07-21,This notice is regarding cricket tournament. Students are requested to follow the instructions before the deadline.,notice_040.pdf,Expired
N041,Dance Competition,Cultural,Data Science,All,High,2026-04-18,2026-05-01,This notice is regarding dance competition. Students are requested to follow the instructions before the deadline.,notice_041.pdf,Upcoming
N042,Semester Registration,Academic,Data Science,All,Medium,2026-07-15,2026-08-11,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_042.pdf,Upcoming
N043,Cloud Computing Workshop,Workshop,Electronics & Communication,ME,High,2026-02-19,2026-03-28,This notice is regarding cloud computing workshop. Students are requested to follow the instructions before the deadline.,notice_043.pdf,Active
N044,Fee Payment Reminder,Administration,Automobile Engineering,Diploma,Urgent,2026-04-24,2026-05-28,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_044.pdf,Active
N045,Internship Opportunity,Placement,Mechanical Engineering,All,Urgent,2026-05-19,2026-07-02,This notice is regarding internship opportunity. Students are requested to follow the instructions before the deadline.,notice_045.pdf,Active
N046,Dance Competition,Cultural,Computer Engineering,ME,Urgent,2026-05-01,2026-06-13,This notice is regarding dance competition. Students are requested to follow the instructions before the deadline.,notice_046.pdf,Expired
N047,AI Workshop,Workshop,Computer Engineering,Diploma,Urgent,2026-03-29,2026-04-10,This notice is regarding ai workshop. Students are requested to follow the instructions before the deadline.,notice_047.pdf,Active
N048,Career Guidance,Seminar,Computer Engineering,ME,High,2026-01-01,2026-02-12,This notice is regarding career guidance. Students are requested to follow the instructions before the deadline.,notice_048.pdf,Expired
N049,End Semester Exam,Examination,Computer Engineering,Diploma,High,2026-01-01,2026-01-19,This notice is regarding end semester exam. Students are requested to follow the instructions before the deadline.,notice_049.pdf,Upcoming
N050,Malhar Cultural Fest,Cultural,Data Science,ME,Low,2026-03-08,2026-03-27,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_050.pdf,Upcoming
N051,Sports Week,Sports,Information Technology,All,Urgent,2026-04-20,2026-05-29,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_051.pdf,Active
N052,Music Night,Cultural,Automobile Engineering,Diploma,Urgent,2026-05-11,2026-05-29,This notice is regarding music night. Students are requested to follow the instructions before the deadline.,notice_052.pdf,Expired
N053,Exam Form Notice,Examination,Civil Engineering,BCA,High,2026-01-06,2026-02-17,This notice is regarding exam form notice. Students are requested to follow the instructions before the deadline.,notice_053.pdf,Expired
N054,Football Trials,Sports,Electronics & Communication,Diploma,Medium,2026-04-12,2026-04-25,This notice is regarding football trials. Students are requested to follow the instructions before the deadline.,notice_054.pdf,Expired
N055,Resume Workshop,Placement,Electronics & Communication,All,High,2026-05-23,2026-07-04,This notice is regarding resume workshop. Students are requested to follow the instructions before the deadline.,notice_055.pdf,Upcoming
N056,Innovation Seminar,Seminar,All,BE,Low,2026-07-10,2026-08-24,This notice is regarding innovation seminar. Students are requested to follow the instructions before the deadline.,notice_056.pdf,Active
N057,Cyber Security Session,Workshop,Civil Engineering,MCA,High,2026-06-05,2026-06-28,This notice is regarding cyber security session. Students are requested to follow the instructions before the deadline.,notice_057.pdf,Active
N058,Innovation Seminar,Seminar,Data Science,BCA,Medium,2026-04-07,2026-05-06,This notice is regarding innovation seminar. Students are requested to follow the instructions before the deadline.,notice_058.pdf,Expired
N059,Mock Interview,Placement,Data Science,MCA,Medium,2026-06-30,2026-08-01,This notice is regarding mock interview. Students are requested to follow the instructions before the deadline.,notice_059.pdf,Active
N060,Exam Form Notice,Examination,Electronics & Communication,All,Medium,2026-06-06,2026-06-19,This notice is regarding exam form notice. Students are requested to follow the instructions before the deadline.,notice_060.pdf,Active
N061,Campus Drive,Placement,Data Science,All,Medium,2026-06-26,2026-07-15,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_061.pdf,Active
N062,Public Holiday,Holiday,Electrical Engineering,BE,Medium,2026-06-24,2026-08-03,This notice is regarding public holiday. Students are requested to follow the instructions before the deadline.,notice_062.pdf,Expired
N063,Football Trials,Sports,Information Technology,Diploma,Low,2026-02-12,2026-03-07,This notice is regarding football trials. Students are requested to follow the instructions before the deadline.,notice_063.pdf,Active
N064,Festival Vacation,Holiday,Data Science,MCA,Medium,2026-02-08,2026-03-08,This notice is regarding festival vacation. Students are requested to follow the instructions before the deadline.,notice_064.pdf,Active
N065,Chess Competition,Sports,Artificial Intelligence & Machine Learning,BE,High,2026-05-18,2026-05-31,This notice is regarding chess competition. Students are requested to follow the instructions before the deadline.,notice_065.pdf,Expired
N066,Campus Drive,Placement,Mechanical Engineering,MCA,Low,2026-05-06,2026-05-26,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_066.pdf,Upcoming
N067,Campus Drive,Placement,All,MCA,Urgent,2026-04-30,2026-05-12,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_067.pdf,Expired
N068,Mid Semester Exam,Examination,Mechanical Engineering,BCA,Urgent,2026-06-15,2026-07-11,This notice is regarding mid semester exam. Students are requested to follow the instructions before the deadline.,notice_068.pdf,Upcoming
N069,Festival Vacation,Holiday,Automobile Engineering,Diploma,Medium,2026-07-11,2026-08-22,This notice is regarding festival vacation. Students are requested to follow the instructions before the deadline.,notice_069.pdf,Active
N070,Fee Payment Reminder,Administration,Computer Applications,Diploma,High,2026-02-01,2026-02-22,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_070.pdf,Active
N071,Football Trials,Sports,Computer Applications,MCA,Urgent,2026-05-18,2026-05-29,This notice is regarding football trials. Students are requested to follow the instructions before the deadline.,notice_071.pdf,Upcoming
N072,Internship Opportunity,Placement,Data Science,Diploma,Urgent,2026-04-28,2026-05-29,This notice is regarding internship opportunity. Students are requested to follow the instructions before the deadline.,notice_072.pdf,Upcoming
N073,Fee Payment Reminder,Administration,Mechanical Engineering,MCA,Medium,2026-04-04,2026-04-29,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_073.pdf,Upcoming
N074,Malhar Cultural Fest,Cultural,Electronics & Communication,BCA,Low,2026-04-07,2026-05-07,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_074.pdf,Upcoming
N075,Music Night,Cultural,Computer Engineering,All,High,2026-05-04,2026-05-28,This notice is regarding music night. Students are requested to follow the instructions before the deadline.,notice_075.pdf,Upcoming
N076,Mock Interview,Placement,Electronics & Communication,Diploma,Low,2026-06-02,2026-07-02,This notice is regarding mock interview. Students are requested to follow the instructions before the deadline.,notice_076.pdf,Upcoming
N077,Book Return Reminder,Library,Automobile Engineering,MCA,High,2026-01-19,2026-01-29,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_077.pdf,Expired
N078,College Closed,Holiday,Electrical Engineering,Diploma,High,2026-06-15,2026-07-27,This notice is regarding college closed. Students are requested to follow the instructions before the deadline.,notice_078.pdf,Upcoming
N079,Mock Interview,Placement,Computer Engineering,ME,Low,2026-04-16,2026-04-26,This notice is regarding mock interview. Students are requested to follow the instructions before the deadline.,notice_079.pdf,Active
N080,Fee Payment Reminder,Administration,Data Science,Diploma,Urgent,2026-06-24,2026-07-10,This notice is regarding fee payment reminder. Students are requested to follow the instructions before the deadline.,notice_080.pdf,Active
N081,Internal Assessment Schedule,Academic,Mechanical Engineering,ME,Low,2026-07-02,2026-08-02,This notice is regarding internal assessment schedule. Students are requested to follow the instructions before the deadline.,notice_081.pdf,Expired
N082,College Closed,Holiday,Computer Engineering,BCA,High,2026-03-08,2026-04-19,This notice is regarding college closed. Students are requested to follow the instructions before the deadline.,notice_082.pdf,Upcoming
N083,Research Seminar,Seminar,Electronics & Communication,BCA,Medium,2026-03-29,2026-04-24,This notice is regarding research seminar. Students are requested to follow the instructions before the deadline.,notice_083.pdf,Upcoming
N084,Research Seminar,Seminar,Civil Engineering,ME,High,2026-06-21,2026-07-21,This notice is regarding research seminar. Students are requested to follow the instructions before the deadline.,notice_084.pdf,Upcoming
N085,College Closed,Holiday,Artificial Intelligence & Machine Learning,BCA,Medium,2026-06-14,2026-07-20,This notice is regarding college closed. Students are requested to follow the instructions before the deadline.,notice_085.pdf,Upcoming
N086,Innovation Seminar,Seminar,All,BCA,High,2026-04-25,2026-05-14,This notice is regarding innovation seminar. Students are requested to follow the instructions before the deadline.,notice_086.pdf,Expired
N087,Chess Competition,Sports,Electrical Engineering,BE,Low,2026-03-13,2026-04-23,This notice is regarding chess competition. Students are requested to follow the instructions before the deadline.,notice_087.pdf,Expired
N088,Mock Interview,Placement,Computer Engineering,BE,Medium,2026-04-05,2026-04-18,This notice is regarding mock interview. Students are requested to follow the instructions before the deadline.,notice_088.pdf,Expired
N089,Festival Vacation,Holiday,All,All,Urgent,2026-02-16,2026-03-23,This notice is regarding festival vacation. Students are requested to follow the instructions before the deadline.,notice_089.pdf,Active
N090,Dance Competition,Cultural,Electrical Engineering,All,High,2026-05-22,2026-06-28,This notice is regarding dance competition. Students are requested to follow the instructions before the deadline.,notice_090.pdf,Expired
N091,Python Bootcamp,Workshop,Computer Engineering,ME,Low,2026-04-11,2026-05-03,This notice is regarding python bootcamp. Students are requested to follow the instructions before the deadline.,notice_091.pdf,Expired
N092,Cricket Tournament,Sports,Computer Engineering,Diploma,High,2026-04-05,2026-04-22,This notice is regarding cricket tournament. Students are requested to follow the instructions before the deadline.,notice_092.pdf,Expired
N093,Sports Week,Sports,Computer Applications,ME,Low,2026-05-18,2026-06-27,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_093.pdf,Active
N094,Practical Examination,Examination,All,BE,Medium,2026-01-07,2026-01-23,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_094.pdf,Expired
N095,AI Workshop,Workshop,Information Technology,All,Urgent,2026-07-10,2026-08-06,This notice is regarding ai workshop. Students are requested to follow the instructions before the deadline.,notice_095.pdf,Active
N096,ID Card Distribution,Administration,Electronics & Communication,BE,Low,2026-01-31,2026-03-01,This notice is regarding id card distribution. Students are requested to follow the instructions before the deadline.,notice_096.pdf,Upcoming
N097,Campus Drive,Placement,Artificial Intelligence & Machine Learning,All,High,2026-07-25,2026-08-10,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_097.pdf,Expired
N098,College Closed,Holiday,Electronics & Communication,Diploma,Medium,2026-02-14,2026-03-17,This notice is regarding college closed. Students are requested to follow the instructions before the deadline.,notice_098.pdf,Expired
N099,Campus Drive,Placement,Electronics & Communication,MCA,High,2026-03-08,2026-03-22,This notice is regarding campus drive. Students are requested to follow the instructions before the deadline.,notice_099.pdf,Upcoming
N100,Resume Workshop,Placement,Electrical Engineering,ME,High,2026-07-01,2026-07-19,This notice is regarding resume workshop. Students are requested to follow the instructions before the deadline.,notice_100.pdf,Expired
N101,Bus Pass Renewal,Administration,Electrical Engineering,BCA,High,2026-04-13,2026-04-22,This notice is regarding bus pass renewal. Students are requested to follow the instructions before the deadline.,notice_101.pdf,Upcoming
N102,Book Return Reminder,Library,Computer Applications,BCA,High,2026-02-07,2026-02-20,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_102.pdf,Expired
N103,Exam Form Notice,Examination,Civil Engineering,MCA,Urgent,2026-07-05,2026-07-17,This notice is regarding exam form notice. Students are requested to follow the instructions before the deadline.,notice_103.pdf,Expired
N104,Industry Expert Talk,Seminar,Mechanical Engineering,MCA,Low,2026-07-28,2026-08-24,This notice is regarding industry expert talk. Students are requested to follow the instructions before the deadline.,notice_104.pdf,Expired
N105,ID Card Distribution,Administration,Automobile Engineering,BCA,Low,2026-05-06,2026-05-21,This notice is regarding id card distribution. Students are requested to follow the instructions before the deadline.,notice_105.pdf,Upcoming
N106,Research Seminar,Seminar,Information Technology,ME,High,2026-05-23,2026-06-04,This notice is regarding research seminar. Students are requested to follow the instructions before the deadline.,notice_106.pdf,Upcoming
N107,Football Trials,Sports,Automobile Engineering,MCA,Low,2026-03-27,2026-05-02,This notice is regarding football trials. Students are requested to follow the instructions before the deadline.,notice_107.pdf,Active
N108,Library Timing Update,Library,Civil Engineering,All,Urgent,2026-03-10,2026-03-26,This notice is regarding library timing update. Students are requested to follow the instructions before the deadline.,notice_108.pdf,Upcoming
N109,ID Card Distribution,Administration,Data Science,BE,Urgent,2026-05-26,2026-07-08,This notice is regarding id card distribution. Students are requested to follow the instructions before the deadline.,notice_109.pdf,Expired
N110,New Books Arrived,Library,Electrical Engineering,ME,Urgent,2026-04-23,2026-05-15,This notice is regarding new books arrived. Students are requested to follow the instructions before the deadline.,notice_110.pdf,Active
N111,Sports Week,Sports,Artificial Intelligence & Machine Learning,BE,Medium,2026-03-01,2026-03-19,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_111.pdf,Expired
N112,Music Night,Cultural,Automobile Engineering,ME,Low,2026-02-20,2026-04-01,This notice is regarding music night. Students are requested to follow the instructions before the deadline.,notice_112.pdf,Upcoming
N113,Semester Registration,Academic,Data Science,Diploma,Urgent,2026-02-26,2026-03-12,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_113.pdf,Expired
N114,College Closed,Holiday,Mechanical Engineering,MCA,Medium,2026-01-15,2026-02-23,This notice is regarding college closed. Students are requested to follow the instructions before the deadline.,notice_114.pdf,Expired
N115,Python Bootcamp,Workshop,Data Science,BCA,Low,2026-01-30,2026-02-22,This notice is regarding python bootcamp. Students are requested to follow the instructions before the deadline.,notice_115.pdf,Upcoming
N116,Sports Week,Sports,Civil Engineering,All,Low,2026-01-02,2026-01-17,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_116.pdf,Active
N117,Public Holiday,Holiday,Computer Applications,Diploma,Urgent,2026-02-09,2026-03-18,This notice is regarding public holiday. Students are requested to follow the instructions before the deadline.,notice_117.pdf,Expired
N118,End Semester Exam,Examination,Artificial Intelligence & Machine Learning,Diploma,Urgent,2026-06-21,2026-07-05,This notice is regarding end semester exam. Students are requested to follow the instructions before the deadline.,notice_118.pdf,Active
N119,Cloud Computing Workshop,Workshop,Data Science,BE,Low,2026-04-12,2026-04-21,This notice is regarding cloud computing workshop. Students are requested to follow the instructions before the deadline.,notice_119.pdf,Expired
N120,Book Return Reminder,Library,Artificial Intelligence & Machine Learning,All,Medium,2026-02-24,2026-04-01,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_120.pdf,Active
N121,New Books Arrived,Library,Electrical Engineering,MCA,Urgent,2026-07-12,2026-07-28,This notice is regarding new books arrived. Students are requested to follow the instructions before the deadline.,notice_121.pdf,Active
N122,Book Return Reminder,Library,Mechanical Engineering,All,Low,2026-05-13,2026-06-06,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_122.pdf,Active
N123,Cricket Tournament,Sports,Computer Engineering,BE,Medium,2026-02-03,2026-02-20,This notice is regarding cricket tournament. Students are requested to follow the instructions before the deadline.,notice_123.pdf,Upcoming
N124,Assignment Submission,Academic,Automobile Engineering,MCA,Medium,2026-05-20,2026-06-18,This notice is regarding assignment submission. Students are requested to follow the instructions before the deadline.,notice_124.pdf,Expired
N125,Cloud Computing Workshop,Workshop,Civil Engineering,Diploma,Urgent,2026-05-23,2026-06-29,This notice is regarding cloud computing workshop. Students are requested to follow the instructions before the deadline.,notice_125.pdf,Active
N126,Library Timing Update,Library,Computer Engineering,MCA,High,2026-03-08,2026-04-15,This notice is regarding library timing update. Students are requested to follow the instructions before the deadline.,notice_126.pdf,Expired
N127,AI Workshop,Workshop,Automobile Engineering,All,Urgent,2026-02-13,2026-03-01,This notice is regarding ai workshop. Students are requested to follow the instructions before the deadline.,notice_127.pdf,Active
N128,Semester Registration,Academic,Civil Engineering,MCA,Low,2026-05-03,2026-05-15,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_128.pdf,Upcoming
N129,Dance Competition,Cultural,Data Science,Diploma,Medium,2026-04-06,2026-04-17,This notice is regarding dance competition. Students are requested to follow the instructions before the deadline.,notice_129.pdf,Active
N130,Class Commencement,Academic,Data Science,ME,Medium,2026-04-19,2026-05-09,This notice is regarding class commencement. Students are requested to follow the instructions before the deadline.,notice_130.pdf,Expired
N131,Malhar Cultural Fest,Cultural,Computer Applications,Diploma,High,2026-06-09,2026-07-03,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_131.pdf,Upcoming
N132,Music Night,Cultural,All,Diploma,Low,2026-06-21,2026-07-31,This notice is regarding music night. Students are requested to follow the instructions before the deadline.,notice_132.pdf,Upcoming
N133,Library Timing Update,Library,Automobile Engineering,Diploma,High,2026-04-19,2026-04-26,This notice is regarding library timing update. Students are requested to follow the instructions before the deadline.,notice_133.pdf,Active
N134,Sports Week,Sports,Civil Engineering,Diploma,Urgent,2026-07-25,2026-08-17,This notice is regarding sports week. Students are requested to follow the instructions before the deadline.,notice_134.pdf,Active
N135,New Books Arrived,Library,Artificial Intelligence & Machine Learning,MCA,High,2026-06-23,2026-08-07,This notice is regarding new books arrived. Students are requested to follow the instructions before the deadline.,notice_135.pdf,Active
N136,ID Card Distribution,Administration,Electrical Engineering,ME,Medium,2026-01-23,2026-02-12,This notice is regarding id card distribution. Students are requested to follow the instructions before the deadline.,notice_136.pdf,Upcoming
N137,Practical Examination,Examination,Civil Engineering,ME,Medium,2026-03-28,2026-04-22,This notice is regarding practical examination. Students are requested to follow the instructions before the deadline.,notice_137.pdf,Upcoming
N138,Football Trials,Sports,Civil Engineering,BE,Low,2026-07-08,2026-07-30,This notice is regarding football trials. Students are requested to follow the instructions before the deadline.,notice_138.pdf,Expired
N139,Malhar Cultural Fest,Cultural,Automobile Engineering,BE,High,2026-04-04,2026-04-16,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_139.pdf,Upcoming
N140,Book Return Reminder,Library,Electronics & Communication,BE,Low,2026-07-01,2026-07-12,This notice is regarding book return reminder. Students are requested to follow the instructions before the deadline.,notice_140.pdf,Active
N141,Cyber Security Session,Workshop,Information Technology,BCA,Medium,2026-02-26,2026-03-10,This notice is regarding cyber security session. Students are requested to follow the instructions before the deadline.,notice_141.pdf,Upcoming
N142,Prakarsh Tech Fest,Cultural,Computer Applications,All,Low,2026-01-29,2026-02-09,This notice is regarding prakarsh tech fest. Students are requested to follow the instructions before the deadline.,notice_142.pdf,Active
N143,Resume Workshop,Placement,Computer Engineering,BCA,High,2026-07-18,2026-08-14,This notice is regarding resume workshop. Students are requested to follow the instructions before the deadline.,notice_143.pdf,Expired
N144,Semester Registration,Academic,Electrical Engineering,All,Medium,2026-07-23,2026-09-03,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_144.pdf,Expired
N145,Resume Workshop,Placement,Civil Engineering,BE,Low,2026-06-07,2026-06-25,This notice is regarding resume workshop. Students are requested to follow the instructions before the deadline.,notice_145.pdf,Upcoming
N146,Internal Assessment Schedule,Academic,Information Technology,BCA,High,2026-02-10,2026-03-25,This notice is regarding internal assessment schedule. Students are requested to follow the instructions before the deadline.,notice_146.pdf,Upcoming
N147,Semester Registration,Academic,Data Science,MCA,Low,2026-01-27,2026-02-21,This notice is regarding semester registration. Students are requested to follow the instructions before the deadline.,notice_147.pdf,Active
N148,Malhar Cultural Fest,Cultural,Electrical Engineering,BE,High,2026-05-20,2026-06-30,This notice is regarding malhar cultural fest. Students are requested to follow the instructions before the deadline.,notice_148.pdf,Active
N149,Cricket Tournament,Sports,Information Technology,MCA,Low,2026-03-29,2026-04-05,This notice is regarding cricket tournament. Students are requested to follow the instructions before the deadline.,notice_149.pdf,Active
N150,Internal Assessment Schedule,Academic,Computer Applications,MCA,High,2026-07-26,2026-08-06,This notice is regarding internal assessment schedule. Students are requested to follow the instructions before the deadline.,notice_150.pdf,Expired
