subject_id,program,department,year,semester,subject_code,subject_name,subject_type,credits
S0128,Diploma,Information Technology,FY,2,DIIN203,Cyber Security,Theory,4
S0129,Diploma,Information Technology,FY,2,DIIN204,Java Programming,Practical,2
S0130,Diploma,Information Technology,FY,2,DIIN205,Software Engineering,Practical,2
S0131,Diploma,Information Technology,SY,3,DIIN301,Web Development,Theory,4
S0132,Diploma,Information Technology,SY,3,DIIN302,Cloud Computing,Theory,4
S0133,Diploma,Information Technology,SY,3,DIIN303,Cyber Security,Theory,4
S0134,Diploma,Information Technology,SY,3,DIIN304,Java Programming,Practical,2
S0135,Diploma,Information Technology,SY,3,DIIN305,Software Engineering,Practical,2
S0136,Diploma,Information Technology,SY,4,DIIN401,Web Development,Theory,4
S0137,Diploma,Information Technology,SY,4,DIIN402,Cloud Computing,Theory,4
S0138,Diploma,Information Technology,SY,4,DIIN403,Cyber Security,Theory,4
S0139,Diploma,Information Technology,SY,4,DIIN404,Java Programming,Practical,2
S0140,Diploma,Information Technology,SY,4,DIIN405,Software Engineering,Practical,2
S0141,Diploma,Information Technology,TY,5,DIIN501,Web Development,Theory,4
S0142,Diploma,Information Technology,TY,5,DIIN502,Cloud Computing,Theory,4
S0143,Diploma,Information Technology,TY,5,DIIN503,Cyber Security,Theory,4
S0144,Diploma,Information Technology,TY,5,DIIN504,Java Programming,Practical,2
S0145,Diploma,Information Technology,TY,5,DIIN505,Software Engineering,Practical,2
S0146,Diploma,Information Technology,TY,6,DIIN601,Web Development,Theory,4
S0147,Diploma,Information Technology,TY,6,DIIN602,Cloud Computing,Theory,4
S0148,Diploma,Information Technology,TY,6,DIIN603,Cyber Security,Theory,4
S0149,Diploma,Information Technology,TY,6,DIIN604,Java Programming,Practical,2
S0150,Diploma,Information Technology,TY,6,DIIN605,Software Engineering,Practical,2
S0151,Diploma,Electronics & Communication,FY,1,DIEL101,Digital Electronics,Theory,4
S0152,Diploma,Electronics & Communication,FY,1,DIEL102,Microprocessors,Theory,4
S0153,Diploma,Electronics & Communication,FY,1,DIEL103,Communication Systems,Theory,4
S0154,Diploma,Electronics & Communication,FY,1,DIEL104,VLSI,Practical,2
S0155,Diploma,Electronics & Communication,FY,1,DIEL105,Embedded Systems,Practical,2
S0156,Diploma,Electronics & Communication,FY,2,DIEL201,Digital Electronics,Theory,4
S0157,Diploma,Electronics & Communication,FY,2,DIEL202,Microprocessors,Theory,4
S0158,Diploma,Electronics & Communication,FY,2,DIEL203,Communication Systems,Theory,4
S0159,Diploma,Electronics & Communication,FY,2,DIEL204,VLSI,Practical,2
S0160,Diploma,Electronics & Communication,FY,2,DIEL205,Embedded Systems,Practical,2
S0161,Diploma,Electronics & Communication,SY,3,DIEL301,Digital Electronics,Theory,4
S0162,Diploma,Electronics & Communication,SY,3,DIEL302,Microprocessors,Theory,4
S0163,Diploma,Electronics & Communication,SY,3,DIEL303,Communication Systems,Theory,4
S0164,Diploma,Electronics & Communication,SY,3,DIEL304,VLSI,Practical,2
S0165,Diploma,Electronics & Communication,SY,3,DIEL305,Embedded Systems,Practical,2
S0166,Diploma,Electronics & Communication,SY,4,DIEL401,Digital Electronics,Theory,4
S0167,Diploma,Electronics & Communication,SY,4,DIEL402,Microprocessors,Theory,4
S0168,Diploma,Electronics & Communication,SY,4,DIEL403,Communication Systems,Theory,4
S0169,Diploma,Electronics & Communication,SY,4,DIEL404,VLSI,Practical,2
S0170,Diploma,Electronics & Communication,SY,4,DIEL405,Embedded Systems,Practical,2
S0171,Diploma,Electronics & Communication,TY,5,DIEL501,Digital Electronics,Theory,4
S0172,Diploma,Electronics & Communication,TY,5,DIEL502,Microprocessors,Theory,4
S0173,Diploma,Electronics & Communication,TY,5,DIEL503,Communication Systems,Theory,4
S0174,Diploma,Electronics & Communication,TY,5,DIEL504,VLSI,Practical,2
S0175,Diploma,Electronics & Communication,TY,5,DIEL505,Embedded Systems,Practical,2
S0176,Diploma,Electronics & Communication,TY,6,DIEL601,Digital Electronics,Theory,4
S0177,Diploma,Electronics & Communication,TY,6,DIEL602,Microprocessors,Theory,4
S0178,Diploma,Electronics & Communication,TY,6,DIEL603,Communication Systems,Theory,4
S0179,Diploma,Electronics & Communication,TY,6,DIEL604,VLSI,Practical,2
S0180,Diploma,Electronics & Communication,TY,6,DIEL605,Embedded Systems,Practical,2
S0181,Diploma,Automobile Engineering,FY,1,DIAU101,Automobile Engineering,Theory,4
S0182,Diploma,Automobile Engineering,FY,1,DIAU102,Vehicle Dynamics,Theory,4
S0183,Diploma,Automobile Engineering,FY,1,DIAU103,Automobile Engines,Theory,4
S0184,Diploma,Automobile Engineering,FY,1,DIAU104,Auto CAD,Practical,2
S0185,Diploma,Automobile Engineering,FY,1,DIAU105,Vehicle Maintenance,Practical,2
S0186,Diploma,Automobile Engineering,FY,2,DIAU201,Automobile Engineering,Theory,4
S0187,Diploma,Automobile Engineering,FY,2,DIAU202,Vehicle Dynamics,Theory,4
S0188,Diploma,Automobile Engineering,FY,2,DIAU203,Automobile Engines,Theory,4
S0189,Diploma,Automobile Engineering,FY,2,DIAU204,Auto CAD,Practical,2
S0190,Diploma,Automobile Engineering,FY,2,DIAU205,Vehicle Maintenance,Practical,2
S0191,Diploma,Automobile Engineering,SY,3,DIAU301,Automobile Engineering,Theory,4
S0192,Diploma,Automobile Engineering,SY,3,DIAU302,Vehicle Dynamics,Theory,4
S0193,Diploma,Automobile Engineering,SY,3,DIAU303,Automobile Engines,Theory,4
S0194,Diploma,Automobile Engineering,SY,3,DIAU304,Auto CAD,Practical,2
S0195,Diploma,Automobile Engineering,SY,3,DIAU305,Vehicle Maintenance,Practical,2
S0196,Diploma,Automobile Engineering,SY,4,DIAU401,Automobile Engineering,Theory,4
S0197,Diploma,Automobile Engineering,SY,4,DIAU402,Vehicle Dynamics,Theory,4
S0198,Diploma,Automobile Engineering,SY,4,DIAU403,Automobile Engines,Theory,4
S0199,Diploma,Automobile Engineering,SY,4,DIAU404,Auto CAD,Practical,2
S0200,Diploma,Automobile Engineering,SY,4,DIAU405,Vehicle Maintenance,Practical,2
S0201,Diploma,Automobile Engineering,TY,5,DIAU501,Automobile Engineering,Theory,4
S0202,Diploma,Automobile Engineering,TY,5,DIAU502,Vehicle Dynamics,Theory,4
S0203,Diploma,Automobile Engineering,TY,5,DIAU503,Automobile Engines,Theory,4
S0204,Diploma,Automobile Engineering,TY,5,DIAU504,Auto CAD,Practical,2
S0205,Diploma,Automobile Engineering,TY,5,DIAU505,Vehicle Maintenance,Practical,2
S0206,Diploma,Automobile Engineering,TY,6,DIAU601,Automobile Engineering,Theory,4
S0207,Diploma,Automobile Engineering,TY,6,DIAU602,Vehicle Dynamics,Theory,4
S0208,Diploma,Automobile Engineering,TY,6,DIAU603,Automobile Engines,Theory,4
S0209,Diploma,Automobile Engineering,TY,6,DIAU604,Auto CAD,Practical,2
S0210,Diploma,Automobile Engineering,TY,6,DIAU605,Vehicle Maintenance,Practical,2
S0211,BE,Computer Engineering,FY,1,BECO101,Programming Fundamentals,Theory,4
S0212,BE,Computer Engineering,FY,1,BECO102,Python Programming,Theory,4
S0213,BE,Computer Engineering,FY,1,BECO103,Data Structures,Theory,4
S0214,BE,Computer Engineering,FY,1,BECO104,DBMS,Practical,2
S0215,BE,Computer Engineering,FY,1,BECO105,Computer Networks,Practical,2
S0216,BE,Computer Engineering,FY,2,BECO201,Programming Fundamentals,Theory,4
S0217,BE,Computer Engineering,FY,2,BECO202,Python Programming,Theory,4
S0218,BE,Computer Engineering,FY,2,BECO203,Data Structures,Theory,4
S0219,BE,Computer Engineering,FY,2,BECO204,DBMS,Practical,2
S0220,BE,Computer Engineering,FY,2,BECO205,Computer Networks,Practical,2
S0221,BE,Computer Engineering,SY,3,BECO301,Programming Fundamentals,Theory,4
S0222,BE,Computer Engineering,SY,3,BECO302,Python Programming,Theory,4
S0223,BE,Computer Engineering,SY,3,BECO303,Data Structures,Theory,4
S0224,BE,Computer Engineering,SY,3,BECO304,DBMS,Practical,2
S0225,BE,Computer Engineering,SY,3,BECO305,Computer Networks,Practical,2
S0226,BE,Computer Engineering,SY,4,BECO401,Programming Fundamentals,Theory,4
S0227,BE,Computer Engineering,SY,4,BECO402,Python Programming,Theory,4
S0228,BE,Computer Engineering,SY,4,BECO403,Data Structures,Theory,4
S0229,BE,Computer Engineering,SY,4,BECO404,DBMS,Practical,2
S0230,BE,Computer Engineering,SY,4,BECO405,Computer Networks,Practical,2
S0231,BE,Computer Engineering,TY,5,BECO501,Programming Fundamentals,Theory,4
S0232,BE,Computer Engineering,TY,5,BECO502,Python Programming,Theory,4
S0233,BE,Computer Engineering,TY,5,BECO503,Data Structures,Theory,4
S0234,BE,Computer Engineering,TY,5,BECO504,DBMS,Practical,2
S0235,BE,Computer Engineering,TY,5,BECO505,Computer Networks,Practical,2
S0236,BE,Computer Engineering,TY,6,BECO601,Programming Fundamentals,Theory,4
S0237,BE,Computer Engineering,TY,6,BECO602,Python Programming,Theory,4
S0238,BE,Computer Engineering,TY,6,BECO603,Data Structures,Theory,4
S0239,BE,Computer Engineering,TY,6,BECO604,DBMS,Practical,2
S0240,BE,Computer Engineering,TY,6,BECO605,Computer Networks,Practical,2
S0241,BE,Computer Engineering,LY,7,BECO701,Programming Fundamentals,Theory,4
S0242,BE,Computer Engineering,LY,7,BECO702,Python Programming,Theory,4
S0243,BE,Computer Engineering,LY,7,BECO703,Data Structures,Theory,4
S0244,BE,Computer Engineering,LY,7,BECO704,DBMS,Practical,2
S0245,BE,Computer Engineering,LY,7,BECO705,Computer Networks,Practical,2
S0246,BE,Computer Engineering,LY,8,BECO801,Programming Fundamentals,Theory,4
S0247,BE,Computer Engineering,LY,8,BECO802,Python Programming,Theory,4
S0248,BE,Computer Engineering,LY,8,BECO803,Data Structures,Theory,4
S0249,BE,Computer Engineering,LY,8,BECO804,DBMS,Practical,2
S0250,BE,Computer Engineering,LY,8,BECO805,Computer Networks,Practical,2
S0251,BE,Information Technology,FY,1,BEIN101,Web Development,Theory,4
S0252,BE,Information Technology,FY,1,BEIN102,Cloud Computing,Theory,4
S0253,BE,Information Technology,FY,1,BEIN103,Cyber Security,Theory,4
S0254,BE,Information Technology,FY,1,BEIN104,Java Programming,Practical,2
S0255,BE,Information Technology,FY,1,BEIN105,Software Engineering,Practical,2
S0256,BE,Information Technology,FY,2,BEIN201,Web Development,Theory,4
S0257,BE,Information Technology,FY,2,BEIN202,Cloud Computing,Theory,4
S0258,BE,Information Technology,FY,2,BEIN203,Cyber Security,Theory,4
S0259,BE,Information Technology,FY,2,BEIN204,Java Programming,Practical,2
S0260,BE,Information Technology,FY,2,BEIN205,Software Engineering,Practical,2
S0261,BE,Information Technology,SY,3,BEIN301,Web Development,Theory,4
S0262,BE,Information Technology,SY,3,BEIN302,Cloud Computing,Theory,4
S0263,BE,Information Technology,SY,3,BEIN303,Cyber Security,Theory,4
S0264,BE,Information Technology,SY,3,BEIN304,Java Programming,Practical,2
S0265,BE,Information Technology,SY,3,BEIN305,Software Engineering,Practical,2
S0266,BE,Information Technology,SY,4,BEIN401,Web Development,Theory,4
S0267,BE,Information Technology,SY,4,BEIN402,Cloud Computing,Theory,4
S0268,BE,Information Technology,SY,4,BEIN403,Cyber Security,Theory,4
S0269,BE,Information Technology,SY,4,BEIN404,Java Programming,Practical,2
S0270,BE,Information Technology,SY,4,BEIN405,Software Engineering,Practical,2
S0271,BE,Information Technology,TY,5,BEIN501,Web Development,Theory,4
S0272,BE,Information Technology,TY,5,BEIN502,Cloud Computing,Theory,4
S0273,BE,Information Technology,TY,5,BEIN503,Cyber Security,Theory,4
S0274,BE,Information Technology,TY,5,BEIN504,Java Programming,Practical,2
S0275,BE,Information Technology,TY,5,BEIN505,Software Engineering,Practical,2
S0276,BE,Information Technology,TY,6,BEIN601,Web Development,Theory,4
S0277,BE,Information Technology,TY,6,BEIN602,Cloud Computing,Theory,4
S0278,BE,Information Technology,TY,6,BEIN603,Cyber Security,Theory,4
S0279,BE,Information Technology,TY,6,BEIN604,Java Programming,Practical,2
S0280,BE,Information Technology,TY,6,BEIN605,Software Engineering,Practical,2
S0281,BE,Information Technology,LY,7,BEIN701,Web Development,Theory,4
S0282,BE,Information Technology,LY,7,BEIN702,Cloud Computing,Theory,4
S0283,BE,Information Technology,LY,7,BEIN703,Cyber Security,Theory,4
S0284,BE,Information Technology,LY,7,BEIN704,Java Programming,Practical,2
S0285,BE,Information Technology,LY,7,BEIN705,Software Engineering,Practical,2
S0286,BE,Information Technology,LY,8,BEIN801,Web Development,Theory,4
S0287,BE,Information Technology,LY,8,BEIN802,Cloud Computing,Theory,4
S0288,BE,Information Technology,LY,8,BEIN803,Cyber Security,Theory,4
S0289,BE,Information Technology,LY,8,BEIN804,Java Programming,Practical,2
S0290,BE,Information Technology,LY,8,BEIN805,Software Engineering,Practical,2
S0291,BE,Civil Engineering,FY,1,BECI101,Engineering Mechanics,Theory,4
S0292,BE,Civil Engineering,FY,1,BECI102,Surveying,Theory,4
S0293,BE,Civil Engineering,FY,1,BECI103,Concrete Technology,Theory,4
S0294,BE,Civil Engineering,FY,1,BECI104,Transportation Engineering,Practical,2
S0295,BE,Civil Engineering,FY,1,BECI105,Structural Analysis,Practical,2
S0296,BE,Civil Engineering,FY,2,BECI201,Engineering Mechanics,Theory,4
S0297,BE,Civil Engineering,FY,2,BECI202,Surveying,Theory,4
S0298,BE,Civil Engineering,FY,2,BECI203,Concrete Technology,Theory,4
S0299,BE,Civil Engineering,FY,2,BECI204,Transportation Engineering,Practical,2
S0300,BE,Civil Engineering,FY,2,BECI205,Structural Analysis,Practical,2
S0301,BE,Civil Engineering,SY,3,BECI301,Engineering Mechanics,Theory,4
S0302,BE,Civil Engineering,SY,3,BECI302,Surveying,Theory,4
S0303,BE,Civil Engineering,SY,3,BECI303,Concrete Technology,Theory,4
S0304,BE,Civil Engineering,SY,3,BECI304,Transportation Engineering,Practical,2
S0305,BE,Civil Engineering,SY,3,BECI305,Structural Analysis,Practical,2
S0306,BE,Civil Engineering,SY,4,BECI401,Engineering Mechanics,Theory,4
S0307,BE,Civil Engineering,SY,4,BECI402,Surveying,Theory,4
S0308,BE,Civil Engineering,SY,4,BECI403,Concrete Technology,Theory,4
S0309,BE,Civil Engineering,SY,4,BECI404,Transportation Engineering,Practical,2
S0310,BE,Civil Engineering,SY,4,BECI405,Structural Analysis,Practical,2
S0311,BE,Civil Engineering,TY,5,BECI501,Engineering Mechanics,Theory,4
S0312,BE,Civil Engineering,TY,5,BECI502,Surveying,Theory,4
S0313,BE,Civil Engineering,TY,5,BECI503,Concrete Technology,Theory,4
S0314,BE,Civil Engineering,TY,5,BECI504,Transportation Engineering,Practical,2
S0315,BE,Civil Engineering,TY,5,BECI505,Structural Analysis,Practical,2
S0316,BE,Civil Engineering,TY,6,BECI601,Engineering Mechanics,Theory,4
S0317,BE,Civil Engineering,TY,6,BECI602,Surveying,Theory,4
S0318,BE,Civil Engineering,TY,6,BECI603,Concrete Technology,Theory,4
S0319,BE,Civil Engineering,TY,6,BECI604,Transportation Engineering,Practical,2
S0320,BE,Civil Engineering,TY,6,BECI605,Structural Analysis,Practical,2
S0321,BE,Civil Engineering,LY,7,BECI701,Engineering Mechanics,Theory,4
S0322,BE,Civil Engineering,LY,7,BECI702,Surveying,Theory,4
S0323,BE,Civil Engineering,LY,7,BECI703,Concrete Technology,Theory,4
S0324,BE,Civil Engineering,LY,7,BECI704,Transportation Engineering,Practical,2
S0325,BE,Civil Engineering,LY,7,BECI705,Structural Analysis,Practical,2
S0326,BE,Civil Engineering,LY,8,BECI801,Engineering Mechanics,Theory,4
S0327,BE,Civil Engineering,LY,8,BECI802,Surveying,Theory,4
S0328,BE,Civil Engineering,LY,8,BECI803,Concrete Technology,Theory,4
S0329,BE,Civil Engineering,LY,8,BECI804,Transportation Engineering,Practical,2
S0330,BE,Civil Engineering,LY,8,BECI805,Structural Analysis,Practical,2
S0331,BE,Mechanical Engineering,FY,1,BEME101,Engineering Drawing,Theory,4
S0332,BE,Mechanical Engineering,FY,1,BEME102,Thermodynamics,Theory,4
S0333,BE,Mechanical Engineering,FY,1,BEME103,Fluid Mechanics,Theory,4
S0334,BE,Mechanical Engineering,FY,1,BEME104,CAD/CAM,Practical,2
S0335,BE,Mechanical Engineering,FY,1,BEME105,Manufacturing Technology,Practical,2
S0336,BE,Mechanical Engineering,FY,2,BEME201,Engineering Drawing,Theory,4
S0337,BE,Mechanical Engineering,FY,2,BEME202,Thermodynamics,Theory,4
S0338,BE,Mechanical Engineering,FY,2,BEME203,Fluid Mechanics,Theory,4
S0339,BE,Mechanical Engineering,FY,2,BEME204,CAD/CAM,Practical,2
S0340,BE,Mechanical Engineering,FY,2,BEME205,Manufacturing Technology,Practical,2
S0341,BE,Mechanical Engineering,SY,3,BEME301,Engineering Drawing,Theory,4
S0342,BE,Mechanical Engineering,SY,3,BEME302,Thermodynamics,Theory,4
S0343,BE,Mechanical Engineering,SY,3,BEME303,Fluid Mechanics,Theory,4
S0344,BE,Mechanical Engineering,SY,3,BEME304,CAD/CAM,Practical,2
S0345,BE,Mechanical Engineering,SY,3,BEME305,Manufacturing Technology,Practical,2
