subject_id	program	department	year	semester	subject_name
52	BE	Artificial Intelligence & Machine Learning	FY	2	Machine Learning
53	BE	Artificial Intelligence & Machine Learning	FY	2	Operating Systems
54	BE	Artificial Intelligence & Machine Learning	FY	2	Project Lab
55	BE	Artificial Intelligence & Machine Learning	FY	2	Python Programming
56	BE	Artificial Intelligence & Machine Learning	FY	2	Surveying
57	BE	Artificial Intelligence & Machine Learning	LY	7	AI Fundamentals
58	BE	Artificial Intelligence & Machine Learning	LY	7	Computer Networks
59	BE	Artificial Intelligence & Machine Learning	LY	7	Cyber Security
60	BE	Artificial Intelligence & Machine Learning	LY	7	Data Structures
61	BE	Artificial Intelligence & Machine Learning	LY	7	Machine Learning
62	BE	Artificial Intelligence & Machine Learning	LY	7	Project Lab
63	BE	Artificial Intelligence & Machine Learning	LY	7	Software Engineering
64	BE	Artificial Intelligence & Machine Learning	LY	8	AI Fundamentals
65	BE	Artificial Intelligence & Machine Learning	LY	8	CAD/CAM
66	BE	Artificial Intelligence & Machine Learning	LY	8	Computer Networks
67	BE	Artificial Intelligence & Machine Learning	LY	8	Cyber Security
68	BE	Artificial Intelligence & Machine Learning	LY	8	DBMS
69	BE	Artificial Intelligence & Machine Learning	LY	8	Project Lab
70	BE	Artificial Intelligence & Machine Learning	LY	8	Thermodynamics
71	BE	Artificial Intelligence & Machine Learning	SY	3	AI Fundamentals
72	BE	Artificial Intelligence & Machine Learning	SY	3	Cloud Computing
73	BE	Artificial Intelligence & Machine Learning	SY	3	Computer Networks
74	BE	Artificial Intelligence & Machine Learning	SY	3	DBMS
75	BE	Artificial Intelligence & Machine Learning	SY	3	Electrical Machines
76	BE	Artificial Intelligence & Machine Learning	SY	3	Project Lab
77	BE	Artificial Intelligence & Machine Learning	SY	3	Thermodynamics
78	BE	Artificial Intelligence & Machine Learning	SY	4	AI Fundamentals
79	BE	Artificial Intelligence & Machine Learning	SY	4	Cloud Computing
80	BE	Artificial Intelligence & Machine Learning	SY	4	Cyber Security
81	BE	Artificial Intelligence & Machine Learning	SY	4	Data Structures
82	BE	Artificial Intelligence & Machine Learning	SY	4	Digital Electronics
83	BE	Artificial Intelligence & Machine Learning	SY	4	Java Programming
84	BE	Artificial Intelligence & Machine Learning	SY	4	Software Engineering
85	BE	Artificial Intelligence & Machine Learning	TY	5	Data Structures
86	BE	Artificial Intelligence & Machine Learning	TY	5	Electrical Machines
87	BE	Artificial Intelligence & Machine Learning	TY	5	Mathematics
88	BE	Artificial Intelligence & Machine Learning	TY	5	Operating Systems
89	BE	Artificial Intelligence & Machine Learning	TY	5	Physics
90	BE	Artificial Intelligence & Machine Learning	TY	5	Software Engineering
91	BE	Artificial Intelligence & Machine Learning	TY	5	Surveying
92	BE	Artificial Intelligence & Machine Learning	TY	6	Cloud Computing
93	BE	Artificial Intelligence & Machine Learning	TY	6	Cyber Security
94	BE	Artificial Intelligence & Machine Learning	TY	6	Digital Electronics
95	BE	Artificial Intelligence & Machine Learning	TY	6	Electrical Machines
96	BE	Artificial Intelligence & Machine Learning	TY	6	Operating Systems
97	BE	Artificial Intelligence & Machine Learning	TY	6	Thermodynamics
98	BE	Artificial Intelligence & Machine Learning	TY	6	Web Development
99	BE	Civil Engineering	FY	1	AI Fundamentals
100	BE	Civil Engineering	FY	1	Cloud Computing
101	BE	Civil Engineering	FY	1	DBMS
102	BE	Civil Engineering	FY	1	Digital Electronics
103	BE	Civil Engineering	FY	1	Electrical Machines
104	BE	Civil Engineering	FY	1	Java Programming
105	BE	Civil Engineering	FY	1	Mathematics
106	BE	Civil Engineering	FY	2	AI Fundamentals
107	BE	Civil Engineering	FY	2	Cloud Computing
108	BE	Civil Engineering	FY	2	DBMS
109	BE	Civil Engineering	FY	2	Machine Learning
110	BE	Civil Engineering	FY	2	Operating Systems
111	BE	Civil Engineering	FY	2	Physics
112	BE	Civil Engineering	FY	2	Software Engineering
113	BE	Civil Engineering	LY	7	AI Fundamentals
114	BE	Civil Engineering	LY	7	Cloud Computing
115	BE	Civil Engineering	LY	7	Computer Networks
116	BE	Civil Engineering	LY	7	Cyber Security
117	BE	Civil Engineering	LY	7	DBMS
118	BE	Civil Engineering	LY	7	Operating Systems
119	BE	Civil Engineering	LY	7	Web Development
120	BE	Civil Engineering	LY	8	AI Fundamentals
121	BE	Civil Engineering	LY	8	Cloud Computing
122	BE	Civil Engineering	LY	8	Cyber Security
123	BE	Civil Engineering	LY	8	Data Structures
124	BE	Civil Engineering	LY	8	Mathematics
125	BE	Civil Engineering	LY	8	Operating Systems
126	BE	Civil Engineering	LY	8	Web Development
127	BE	Civil Engineering	SY	3	Cloud Computing
128	BE	Civil Engineering	SY	3	Java Programming
129	BE	Civil Engineering	SY	3	Mathematics
130	BE	Civil Engineering	SY	3	Python Programming
131	BE	Civil Engineering	SY	3	Software Engineering
132	BE	Civil Engineering	SY	3	Surveying
133	BE	Civil Engineering	SY	3	Web Development
134	BE	Civil Engineering	SY	4	Cloud Computing
135	BE	Civil Engineering	SY	4	Computer Networks
136	BE	Civil Engineering	SY	4	Cyber Security
137	BE	Civil Engineering	SY	4	DBMS
138	BE	Civil Engineering	SY	4	Electrical Machines
139	BE	Civil Engineering	SY	4	Physics
140	BE	Civil Engineering	SY	4	Web Development
141	BE	Civil Engineering	TY	5	Cyber Security
142	BE	Civil Engineering	TY	5	Data Structures
143	BE	Civil Engineering	TY	5	Digital Electronics
144	BE	Civil Engineering	TY	5	Electrical Machines
145	BE	Civil Engineering	TY	5	Physics
146	BE	Civil Engineering	TY	5	Python Programming
147	BE	Civil Engineering	TY	5	Surveying
148	BE	Civil Engineering	TY	6	AI Fundamentals
149	BE	Civil Engineering	TY	6	CAD/CAM
150	BE	Civil Engineering	TY	6	Cloud Computing
151	BE	Civil Engineering	TY	6	Computer Networks
152	BE	Civil Engineering	TY	6	Digital Electronics
153	BE	Civil Engineering	TY	6	Java Programming
154	BE	Civil Engineering	TY	6	Surveying
155	BE	Computer Engineering	FY	1	AI Fundamentals
156	BE	Computer Engineering	FY	1	CAD/CAM
157	BE	Computer Engineering	FY	1	Data Structures
158	BE	Computer Engineering	FY	1	Electrical Machines
159	BE	Computer Engineering	FY	1	Operating Systems
160	BE	Computer Engineering	FY	1	Physics
161	BE	Computer Engineering	FY	1	Python Programming
162	BE	Computer Engineering	FY	2	Cyber Security
163	BE	Computer Engineering	FY	2	Machine Learning
164	BE	Computer Engineering	FY	2	Mathematics
165	BE	Computer Engineering	FY	2	Operating Systems
166	BE	Computer Engineering	FY	2	Project Lab
167	BE	Computer Engineering	FY	2	Surveying
168	BE	Computer Engineering	FY	2	Thermodynamics
169	BE	Computer Engineering	LY	7	Cyber Security
170	BE	Computer Engineering	LY	7	DBMS
171	BE	Computer Engineering	LY	7	Digital Electronics
172	BE	Computer Engineering	LY	7	Machine Learning
173	BE	Computer Engineering	LY	7	Physics
174	BE	Computer Engineering	LY	7	Software Engineering
175	BE	Computer Engineering	LY	7	Surveying
176	BE	Computer Engineering	LY	8	AI Fundamentals
177	BE	Computer Engineering	LY	8	CAD/CAM
178	BE	Computer Engineering	LY	8	Cloud Computing
179	BE	Computer Engineering	LY	8	DBMS
180	BE	Computer Engineering	LY	8	Data Structures
181	BE	Computer Engineering	LY	8	Electrical Machines
182	BE	Computer Engineering	LY	8	Web Development
183	BE	Computer Engineering	SY	3	Cloud Computing
184	BE	Computer Engineering	SY	3	Computer Networks
185	BE	Computer Engineering	SY	3	Cyber Security
186	BE	Computer Engineering	SY	3	Electrical Machines
187	BE	Computer Engineering	SY	3	Operating Systems
188	BE	Computer Engineering	SY	3	Surveying
189	BE	Computer Engineering	SY	3	Thermodynamics
190	BE	Computer Engineering	SY	4	Computer Networks
191	BE	Computer Engineering	SY	4	Cyber Security
192	BE	Computer Engineering	SY	4	DBMS
193	BE	Computer Engineering	SY	4	Mathematics
194	BE	Computer Engineering	SY	4	Physics
195	BE	Computer Engineering	SY	4	Python Programming
196	BE	Computer Engineering	SY	4	Software Engineering
197	BE	Computer Engineering	TY	5	AI Fundamentals
198	BE	Computer Engineering	TY	5	CAD/CAM
199	BE	Computer Engineering	TY	5	Cloud Computing
200	BE	Computer Engineering	TY	5	Machine Learning
201	BE	Computer Engineering	TY	5	Operating Systems
202	BE	Computer Engineering	TY	5	Software Engineering
203	BE	Computer Engineering	TY	5	Web Development
204	BE	Computer Engineering	TY	6	AI Fundamentals
205	BE	Computer Engineering	TY	6	Cyber Security
206	BE	Computer Engineering	TY	6	DBMS
207	BE	Computer Engineering	TY	6	Data Structures
208	BE	Computer Engineering	TY	6	Digital Electronics
209	BE	Computer Engineering	TY	6	Physics
210	BE	Computer Engineering	TY	6	Thermodynamics
211	BE	Data Science	FY	1	AI Fundamentals
212	BE	Data Science	FY	1	Cloud Computing
213	BE	Data Science	FY	1	DBMS
214	BE	Data Science	FY	1	Electrical Machines
215	BE	Data Science	FY	1	Machine Learning
216	BE	Data Science	FY	1	Project Lab
217	BE	Data Science	FY	1	Software Engineering
218	BE	Data Science	FY	2	AI Fundamentals
219	BE	Data Science	FY	2	CAD/CAM
220	BE	Data Science	FY	2	DBMS
221	BE	Data Science	FY	2	Digital Electronics
222	BE	Data Science	FY	2	Electrical Machines
223	BE	Data Science	FY	2	Software Engineering
224	BE	Data Science	FY	2	Surveying
225	BE	Data Science	LY	7	CAD/CAM
226	BE	Data Science	LY	7	Cloud Computing
227	BE	Data Science	LY	7	Computer Networks
228	BE	Data Science	LY	7	Electrical Machines
229	BE	Data Science	LY	7	Python Programming
230	BE	Data Science	LY	7	Surveying
231	BE	Data Science	LY	7	Thermodynamics
232	BE	Data Science	LY	8	AI Fundamentals
233	BE	Data Science	LY	8	Digital Electronics
234	BE	Data Science	LY	8	Machine Learning
235	BE	Data Science	LY	8	Project Lab
236	BE	Data Science	LY	8	Python Programming
237	BE	Data Science	LY	8	Surveying
238	BE	Data Science	LY	8	Thermodynamics
239	BE	Data Science	SY	3	CAD/CAM
240	BE	Data Science	SY	3	Cloud Computing
241	BE	Data Science	SY	3	Cyber Security
242	BE	Data Science	SY	3	Java Programming
243	BE	Data Science	SY	3	Python Programming
244	BE	Data Science	SY	3	Software Engineering
245	BE	Data Science	SY	3	Thermodynamics
246	BE	Data Science	SY	4	CAD/CAM
247	BE	Data Science	SY	4	Cloud Computing
248	BE	Data Science	SY	4	Computer Networks
249	BE	Data Science	SY	4	DBMS
250	BE	Data Science	SY	4	Mathematics
251	BE	Data Science	SY	4	Physics
252	BE	Data Science	SY	4	Web Development
253	BE	Data Science	TY	5	AI Fundamentals
254	BE	Data Science	TY	5	Computer Networks
255	BE	Data Science	TY	5	Machine Learning
256	BE	Data Science	TY	5	Physics
257	BE	Data Science	TY	5	Project Lab
258	BE	Data Science	TY	5	Software Engineering
259	BE	Data Science	TY	5	Thermodynamics
260	BE	Data Science	TY	6	Cyber Security
261	BE	Data Science	TY	6	DBMS
262	BE	Data Science	TY	6	Data Structures
263	BE	Data Science	TY	6	Electrical Machines
264	BE	Data Science	TY	6	Physics
265	BE	Data Science	TY	6	Python Programming
266	BE	Data Science	TY	6	Surveying
267	BE	Electrical Engineering	FY	1	AI Fundamentals
268	BE	Electrical Engineering	FY	1	CAD/CAM
269	BE	Electrical Engineering	FY	1	Cloud Computing
270	BE	Electrical Engineering	FY	1	DBMS
271	BE	Electrical Engineering	FY	1	Machine Learning
272	BE	Electrical Engineering	FY	1	Mathematics
273	BE	Electrical Engineering	FY	1	Software Engineering
274	BE	Electrical Engineering	FY	2	Computer Networks
275	BE	Electrical Engineering	FY	2	Data Structures
276	BE	Electrical Engineering	FY	2	Electrical Machines
277	BE	Electrical Engineering	FY	2	Java Programming
278	BE	Electrical Engineering	FY	2	Mathematics
279	BE	Electrical Engineering	FY	2	Operating Systems
280	BE	Electrical Engineering	FY	2	Software Engineering
281	BE	Electrical Engineering	LY	7	AI Fundamentals
282	BE	Electrical Engineering	LY	7	CAD/CAM
283	BE	Electrical Engineering	LY	7	Computer Networks
284	BE	Electrical Engineering	LY	7	DBMS
285	BE	Electrical Engineering	LY	7	Physics
286	BE	Electrical Engineering	LY	7	Project Lab
287	BE	Electrical Engineering	LY	7	Python Programming
288	BE	Electrical Engineering	LY	8	AI Fundamentals
289	BE	Electrical Engineering	LY	8	Computer Networks
290	BE	Electrical Engineering	LY	8	Digital Electronics
291	BE	Electrical Engineering	LY	8	Electrical Machines
292	BE	Electrical Engineering	LY	8	Project Lab
293	BE	Electrical Engineering	LY	8	Python Programming
294	BE	Electrical Engineering	LY	8	Software Engineering
295	BE	Electrical Engineering	SY	3	AI Fundamentals
296	BE	Electrical Engineering	SY	3	Cloud Computing
297	BE	Electrical Engineering	SY	3	Computer Networks
298	BE	Electrical Engineering	SY	3	DBMS
299	BE	Electrical Engineering	SY	3	Machine Learning
300	BE	Electrical Engineering	SY	3	Surveying
301	BE	Electrical Engineering	SY	3	Web Development
302	BE	Electrical Engineering	SY	4	AI Fundamentals
303	BE	Electrical Engineering	SY	4	CAD/CAM
304	BE	Electrical Engineering	SY	4	DBMS
305	BE	Electrical Engineering	SY	4	Data Structures
306	BE	Electrical Engineering	SY	4	Java Programming
307	BE	Electrical Engineering	SY	4	Operating Systems
308	BE	Electrical Engineering	SY	4	Software Engineering
309	BE	Electrical Engineering	TY	5	CAD/CAM
310	BE	Electrical Engineering	TY	5	Cyber Security
311	BE	Electrical Engineering	TY	5	Operating Systems
312	BE	Electrical Engineering	TY	5	Project Lab
313	BE	Electrical Engineering	TY	5	Python Programming
314	BE	Electrical Engineering	TY	5	Surveying
315	BE	Electrical Engineering	TY	5	Web Development
316	BE	Electrical Engineering	TY	6	CAD/CAM
317	BE	Electrical Engineering	TY	6	Cloud Computing
318	BE	Electrical Engineering	TY	6	Computer Networks
319	BE	Electrical Engineering	TY	6	Cyber Security
320	BE	Electrical Engineering	TY	6	Mathematics
321	BE	Electrical Engineering	TY	6	Python Programming
322	BE	Electrical Engineering	TY	6	Web Development
323	BE	Electronics & Communication	FY	1	AI Fundamentals
324	BE	Electronics & Communication	FY	1	CAD/CAM
325	BE	Electronics & Communication	FY	1	DBMS
326	BE	Electronics & Communication	FY	1	Data Structures
327	BE	Electronics & Communication	FY	1	Digital Electronics
328	BE	Electronics & Communication	FY	1	Python Programming
329	BE	Electronics & Communication	FY	1	Software Engineering
330	BE	Electronics & Communication	FY	2	Data Structures
331	BE	Electronics & Communication	FY	2	Digital Electronics
332	BE	Electronics & Communication	FY	2	Machine Learning
333	BE	Electronics & Communication	FY	2	Mathematics
334	BE	Electronics & Communication	FY	2	Operating Systems
335	BE	Electronics & Communication	FY	2	Software Engineering
336	BE	Electronics & Communication	FY	2	Thermodynamics
337	BE	Electronics & Communication	LY	7	DBMS
338	BE	Electronics & Communication	LY	7	Digital Electronics
339	BE	Electronics & Communication	LY	7	Electrical Machines
340	BE	Electronics & Communication	LY	7	Java Programming
341	BE	Electronics & Communication	LY	7	Operating Systems
342	BE	Electronics & Communication	LY	7	Physics
343	BE	Electronics & Communication	LY	7	Web Development
344	BE	Electronics & Communication	LY	8	Cloud Computing
345	BE	Electronics & Communication	LY	8	Cyber Security
346	BE	Electronics & Communication	LY	8	DBMS
347	BE	Electronics & Communication	LY	8	Data Structures
348	BE	Electronics & Communication	LY	8	Digital Electronics
349	BE	Electronics & Communication	LY	8	Project Lab
350	BE	Electronics & Communication	LY	8	Thermodynamics
351	BE	Electronics & Communication	SY	3	AI Fundamentals
352	BE	Electronics & Communication	SY	3	CAD/CAM
353	BE	Electronics & Communication	SY	3	Cloud Computing
354	BE	Electronics & Communication	SY	3	DBMS
355	BE	Electronics & Communication	SY	3	Digital Electronics
356	BE	Electronics & Communication	SY	3	Electrical Machines
357	BE	Electronics & Communication	SY	3	Python Programming
358	BE	Electronics & Communication	SY	4	AI Fundamentals
359	BE	Electronics & Communication	SY	4	Cyber Security
360	BE	Electronics & Communication	SY	4	DBMS
361	BE	Electronics & Communication	SY	4	Data Structures
362	BE	Electronics & Communication	SY	4	Digital Electronics
363	BE	Electronics & Communication	SY	4	Electrical Machines
364	BE	Electronics & Communication	SY	4	Mathematics
365	BE	Electronics & Communication	TY	5	DBMS
366	BE	Electronics & Communication	TY	5	Data Structures
367	BE	Electronics & Communication	TY	5	Java Programming
368	BE	Electronics & Communication	TY	5	Machine Learning
369	BE	Electronics & Communication	TY	5	Project Lab
370	BE	Electronics & Communication	TY	5	Surveying
371	BE	Electronics & Communication	TY	5	Thermodynamics
372	BE	Electronics & Communication	TY	6	Cyber Security
373	BE	Electronics & Communication	TY	6	Data Structures
374	BE	Electronics & Communication	TY	6	Electrical Machines
375	BE	Electronics & Communication	TY	6	Python Programming
376	BE	Electronics & Communication	TY	6	Software Engineering
377	BE	Electronics & Communication	TY	6	Surveying
378	BE	Electronics & Communication	TY	6	Web Development
379	BE	Information Technology	FY	1	CAD/CAM
380	BE	Information Technology	FY	1	Cloud Computing
381	BE	Information Technology	FY	1	Computer Networks
382	BE	Information Technology	FY	1	DBMS
383	BE	Information Technology	FY	1	Data Structures
384	BE	Information Technology	FY	1	Physics
385	BE	Information Technology	FY	1	Web Development
386	BE	Information Technology	FY	2	Cloud Computing
387	BE	Information Technology	FY	2	Computer Networks
388	BE	Information Technology	FY	2	Data Structures
389	BE	Information Technology	FY	2	Machine Learning
390	BE	Information Technology	FY	2	Operating Systems
391	BE	Information Technology	FY	2	Project Lab
392	BE	Information Technology	FY	2	Software Engineering
393	BE	Information Technology	LY	7	Cyber Security
394	BE	Information Technology	LY	7	Data Structures
395	BE	Information Technology	LY	7	Digital Electronics
396	BE	Information Technology	LY	7	Java Programming
397	BE	Information Technology	LY	7	Machine Learning
398	BE	Information Technology	LY	7	Project Lab
399	BE	Information Technology	LY	7	Surveying
400	BE	Information Technology	LY	8	CAD/CAM
401	BE	Information Technology	LY	8	Computer Networks
402	BE	Information Technology	LY	8	Cyber Security
403	BE	Information Technology	LY	8	Data Structures
404	BE	Information Technology	LY	8	Digital Electronics
405	BE	Information Technology	LY	8	Java Programming
406	BE	Information Technology	LY	8	Thermodynamics
407	BE	Information Technology	SY	3	Cloud Computing
408	BE	Information Technology	SY	3	DBMS
409	BE	Information Technology	SY	3	Data Structures
410	BE	Information Technology	SY	3	Digital Electronics
411	BE	Information Technology	SY	3	Mathematics
412	BE	Information Technology	SY	3	Project Lab
413	BE	Information Technology	SY	3	Web Development
414	BE	Information Technology	SY	4	AI Fundamentals
415	BE	Information Technology	SY	4	Cloud Computing
416	BE	Information Technology	SY	4	Computer Networks
417	BE	Information Technology	SY	4	Electrical Machines
418	BE	Information Technology	SY	4	Java Programming
419	BE	Information Technology	SY	4	Software Engineering
420	BE	Information Technology	SY	4	Web Development
421	BE	Information Technology	TY	5	AI Fundamentals
422	BE	Information Technology	TY	5	Cloud Computing
423	BE	Information Technology	TY	5	Computer Networks
424	BE	Information Technology	TY	5	Cyber Security
425	BE	Information Technology	TY	5	Java Programming
426	BE	Information Technology	TY	5	Physics
427	BE	Information Technology	TY	5	Python Programming
428	BE	Information Technology	TY	6	Computer Networks
429	BE	Information Technology	TY	6	DBMS
430	BE	Information Technology	TY	6	Digital Electronics
431	BE	Information Technology	TY	6	Machine Learning
432	BE	Information Technology	TY	6	Python Programming
433	BE	Information Technology	TY	6	Software Engineering
434	BE	Information Technology	TY	6	Thermodynamics
435	BE	Mechanical Engineering	FY	1	AI Fundamentals
436	BE	Mechanical Engineering	FY	1	CAD/CAM
437	BE	Mechanical Engineering	FY	1	Computer Networks
438	BE	Mechanical Engineering	FY	1	Electrical Machines
439	BE	Mechanical Engineering	FY	1	Java Programming
440	BE	Mechanical Engineering	FY	1	Machine Learning
441	BE	Mechanical Engineering	FY	1	Project Lab
442	BE	Mechanical Engineering	FY	2	Cloud Computing
443	BE	Mechanical Engineering	FY	2	Computer Networks
444	BE	Mechanical Engineering	FY	2	Electrical Machines
445	BE	Mechanical Engineering	FY	2	Machine Learning
446	BE	Mechanical Engineering	FY	2	Operating Systems
447	BE	Mechanical Engineering	FY	2	Python Programming
448	BE	Mechanical Engineering	FY	2	Web Development
449	BE	Mechanical Engineering	LY	7	CAD/CAM
450	BE	Mechanical Engineering	LY	7	Cyber Security
451	BE	Mechanical Engineering	LY	7	DBMS
452	BE	Mechanical Engineering	LY	7	Digital Electronics
453	BE	Mechanical Engineering	LY	7	Electrical Machines
454	BE	Mechanical Engineering	LY	7	Operating Systems
455	BE	Mechanical Engineering	LY	7	Software Engineering
456	BE	Mechanical Engineering	LY	8	AI Fundamentals
457	BE	Mechanical Engineering	LY	8	Cloud Computing
458	BE	Mechanical Engineering	LY	8	Digital Electronics
459	BE	Mechanical Engineering	LY	8	Java Programming
460	BE	Mechanical Engineering	LY	8	Machine Learning
461	BE	Mechanical Engineering	LY	8	Mathematics
462	BE	Mechanical Engineering	LY	8	Surveying
463	BE	Mechanical Engineering	SY	3	AI Fundamentals
464	BE	Mechanical Engineering	SY	3	CAD/CAM
465	BE	Mechanical Engineering	SY	3	Cloud Computing
466	BE	Mechanical Engineering	SY	3	Java Programming
467	BE	Mechanical Engineering	SY	3	Machine Learning
468	BE	Mechanical Engineering	SY	3	Operating Systems
469	BE	Mechanical Engineering	SY	3	Project Lab
470	BE	Mechanical Engineering	SY	4	AI Fundamentals
471	BE	Mechanical Engineering	SY	4	CAD/CAM
472	BE	Mechanical Engineering	SY	4	Cloud Computing
473	BE	Mechanical Engineering	SY	4	Digital Electronics
474	BE	Mechanical Engineering	SY	4	Java Programming
475	BE	Mechanical Engineering	SY	4	Operating Systems
476	BE	Mechanical Engineering	SY	4	Surveying
477	BE	Mechanical Engineering	TY	5	AI Fundamentals
478	BE	Mechanical Engineering	TY	5	CAD/CAM
479	BE	Mechanical Engineering	TY	5	Cloud Computing
480	BE	Mechanical Engineering	TY	5	Computer Networks
481	BE	Mechanical Engineering	TY	5	Mathematics
482	BE	Mechanical Engineering	TY	5	Physics
483	BE	Mechanical Engineering	TY	5	Python Programming
484	BE	Mechanical Engineering	TY	6	AI Fundamentals
485	BE	Mechanical Engineering	TY	6	Computer Networks
486	BE	Mechanical Engineering	TY	6	Mathematics
487	BE	Mechanical Engineering	TY	6	Operating Systems
488	BE	Mechanical Engineering	TY	6	Project Lab
489	BE	Mechanical Engineering	TY	6	Surveying
490	BE	Mechanical Engineering	TY	6	Web Development
491	Diploma	Automobile Engineering	FY	1	Computer Networks
492	Diploma	Automobile Engineering	FY	1	Data Structures
493	Diploma	Automobile Engineering	FY	1	Machine Learning
494	Diploma	Automobile Engineering	FY	1	Mathematics
495	Diploma	Automobile Engineering	FY	1	Physics
496	Diploma	Automobile Engineering	FY	1	Project Lab
497	Diploma	Automobile Engineering	FY	1	Python Programming
498	Diploma	Automobile Engineering	FY	2	CAD/CAM
499	Diploma	Automobile Engineering	FY	2	Cloud Computing
500	Diploma	Automobile Engineering	FY	2	Computer Networks
501	Diploma	Automobile Engineering	FY	2	DBMS
502	Diploma	Automobile Engineering	FY	2	Digital Electronics
503	Diploma	Automobile Engineering	FY	2	Software Engineering
504	Diploma	Automobile Engineering	FY	2	Thermodynamics
505	Diploma	Automobile Engineering	SY	3	AI Fundamentals
506	Diploma	Automobile Engineering	SY	3	CAD/CAM
507	Diploma	Automobile Engineering	SY	3	Cloud Computing
508	Diploma	Automobile Engineering	SY	3	Data Structures
509	Diploma	Automobile Engineering	SY	3	Digital Electronics
510	Diploma	Automobile Engineering	SY	3	Operating Systems
511	Diploma	Automobile Engineering	SY	3	Python Programming
512	Diploma	Automobile Engineering	SY	4	Cloud Computing
513	Diploma	Automobile Engineering	SY	4	Computer Networks
514	Diploma	Automobile Engineering	SY	4	DBMS
515	Diploma	Automobile Engineering	SY	4	Electrical Machines
516	Diploma	Automobile Engineering	SY	4	Machine Learning
517	Diploma	Automobile Engineering	SY	4	Physics
518	Diploma	Automobile Engineering	SY	4	Software Engineering
519	Diploma	Automobile Engineering	TY	5	CAD/CAM
520	Diploma	Automobile Engineering	TY	5	Cloud Computing
521	Diploma	Automobile Engineering	TY	5	Cyber Security
522	Diploma	Automobile Engineering	TY	5	DBMS
523	Diploma	Automobile Engineering	TY	5	Software Engineering
524	Diploma	Automobile Engineering	TY	5	Surveying
525	Diploma	Automobile Engineering	TY	5	Thermodynamics
526	Diploma	Automobile Engineering	TY	6	AI Fundamentals
527	Diploma	Automobile Engineering	TY	6	Cloud Computing
528	Diploma	Automobile Engineering	TY	6	Data Structures
529	Diploma	Automobile Engineering	TY	6	Digital Electronics
530	Diploma	Automobile Engineering	TY	6	Python Programming
531	Diploma	Automobile Engineering	TY	6	Software Engineering
532	Diploma	Automobile Engineering	TY	6	Web Development
533	Diploma	Civil Engineering	FY	1	AI Fundamentals
534	Diploma	Civil Engineering	FY	1	Computer Networks
535	Diploma	Civil Engineering	FY	1	DBMS
536	Diploma	Civil Engineering	FY	1	Electrical Machines
537	Diploma	Civil Engineering	FY	1	Physics
538	Diploma	Civil Engineering	FY	1	Python Programming
539	Diploma	Civil Engineering	FY	1	Surveying
