book_id,program,department,year,semester,subject,book_title,author,publisher,edition,isbn,available_copies,shelf
B00030,Diploma,Computer Engineering,TY,6,Computer Networks,Computer Networks - Complete Guide,Author 31,McGraw Hill,1th,978-93-100030,8,CO-3-11
B00031,Diploma,Civil Engineering,FY,1,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 32,McGraw Hill,2th,978-93-100031,9,CI-1-12
B00032,Diploma,Civil Engineering,FY,1,Surveying,Surveying - Complete Guide,Author 33,McGraw Hill,3th,978-93-100032,2,CI-1-13
B00033,Diploma,Civil Engineering,FY,1,Concrete Technology,Concrete Technology - Complete Guide,Author 34,McGraw Hill,4th,978-93-100033,3,CI-1-14
B00034,Diploma,Civil Engineering,FY,1,Transportation Engineering,Transportation Engineering - Complete Guide,Author 35,McGraw Hill,5th,978-93-100034,4,CI-1-15
B00035,Diploma,Civil Engineering,FY,1,Structural Analysis,Structural Analysis - Complete Guide,Author 36,McGraw Hill,1th,978-93-100035,5,CI-1-16
B00036,Diploma,Civil Engineering,FY,2,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 37,McGraw Hill,2th,978-93-100036,6,CI-1-17
B00037,Diploma,Civil Engineering,FY,2,Surveying,Surveying - Complete Guide,Author 38,McGraw Hill,3th,978-93-100037,7,CI-1-18
B00038,Diploma,Civil Engineering,FY,2,Concrete Technology,Concrete Technology - Complete Guide,Author 39,McGraw Hill,4th,978-93-100038,8,CI-1-19
B00039,Diploma,Civil Engineering,FY,2,Transportation Engineering,Transportation Engineering - Complete Guide,Author 40,McGraw Hill,5th,978-93-100039,9,CI-1-20
B00040,Diploma,Civil Engineering,FY,2,Structural Analysis,Structural Analysis - Complete Guide,Author 41,McGraw Hill,1th,978-93-100040,2,CI-1-1
B00041,Diploma,Civil Engineering,SY,3,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 42,McGraw Hill,2th,978-93-100041,3,CI-2-2
B00042,Diploma,Civil Engineering,SY,3,Surveying,Surveying - Complete Guide,Author 43,McGraw Hill,3th,978-93-100042,4,CI-2-3
B00043,Diploma,Civil Engineering,SY,3,Concrete Technology,Concrete Technology - Complete Guide,Author 44,McGraw Hill,4th,978-93-100043,5,CI-2-4
B00044,Diploma,Civil Engineering,SY,3,Transportation Engineering,Transportation Engineering - Complete Guide,Author 45,McGraw Hill,5th,978-93-100044,6,CI-2-5
B00045,Diploma,Civil Engineering,SY,3,Structural Analysis,Structural Analysis - Complete Guide,Author 46,McGraw Hill,1th,978-93-100045,7,CI-2-6
B00046,Diploma,Civil Engineering,SY,4,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 47,McGraw Hill,2th,978-93-100046,8,CI-2-7
B00047,Diploma,Civil Engineering,SY,4,Surveying,Surveying - Complete Guide,Author 48,McGraw Hill,3th,978-93-100047,9,CI-2-8
B00048,Diploma,Civil Engineering,SY,4,Concrete Technology,Concrete Technology - Complete Guide,Author 49,McGraw Hill,4th,978-93-100048,2,CI-2-9
B00049,Diploma,Civil Engineering,SY,4,Transportation Engineering,Transportation Engineering - Complete Guide,Author 50,McGraw Hill,5th,978-93-100049,3,CI-2-10
B00050,Diploma,Civil Engineering,SY,4,Structural Analysis,Structural Analysis - Complete Guide,Author 1,McGraw Hill,1th,978-93-100050,4,CI-2-11
B00051,Diploma,Civil Engineering,TY,5,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 2,McGraw Hill,2th,978-93-100051,5,CI-3-12
B00052,Diploma,Civil Engineering,TY,5,Surveying,Surveying - Complete Guide,Author 3,McGraw Hill,3th,978-93-100052,6,CI-3-13
B00053,Diploma,Civil Engineering,TY,5,Concrete Technology,Concrete Technology - Complete Guide,Author 4,McGraw Hill,4th,978-93-100053,7,CI-3-14
B00054,Diploma,Civil Engineering,TY,5,Transportation Engineering,Transportation Engineering - Complete Guide,Author 5,McGraw Hill,5th,978-93-100054,8,CI-3-15
B00055,Diploma,Civil Engineering,TY,5,Structural Analysis,Structural Analysis - Complete Guide,Author 6,McGraw Hill,1th,978-93-100055,9,CI-3-16
B00056,Diploma,Civil Engineering,TY,6,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 7,McGraw Hill,2th,978-93-100056,2,CI-3-17
B00057,Diploma,Civil Engineering,TY,6,Surveying,Surveying - Complete Guide,Author 8,McGraw Hill,3th,978-93-100057,3,CI-3-18
B00058,Diploma,Civil Engineering,TY,6,Concrete Technology,Concrete Technology - Complete Guide,Author 9,McGraw Hill,4th,978-93-100058,4,CI-3-19
B00059,Diploma,Civil Engineering,TY,6,Transportation Engineering,Transportation Engineering - Complete Guide,Author 10,McGraw Hill,5th,978-93-100059,5,CI-3-20
B00060,Diploma,Civil Engineering,TY,6,Structural Analysis,Structural Analysis - Complete Guide,Author 11,McGraw Hill,1th,978-93-100060,6,CI-3-1
B00061,Diploma,Mechanical Engineering,FY,1,Engineering Drawing,Engineering Drawing - Complete Guide,Author 12,McGraw Hill,2th,978-93-100061,7,ME-1-2
B00062,Diploma,Mechanical Engineering,FY,1,Thermodynamics,Thermodynamics - Complete Guide,Author 13,McGraw Hill,3th,978-93-100062,8,ME-1-3
B00063,Diploma,Mechanical Engineering,FY,1,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 14,McGraw Hill,4th,978-93-100063,9,ME-1-4
B00064,Diploma,Mechanical Engineering,FY,1,CAD/CAM,CAD/CAM - Complete Guide,Author 15,McGraw Hill,5th,978-93-100064,2,ME-1-5
B00065,Diploma,Mechanical Engineering,FY,1,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 16,McGraw Hill,1th,978-93-100065,3,ME-1-6
B00066,Diploma,Mechanical Engineering,FY,2,Engineering Drawing,Engineering Drawing - Complete Guide,Author 17,McGraw Hill,2th,978-93-100066,4,ME-1-7
B00067,Diploma,Mechanical Engineering,FY,2,Thermodynamics,Thermodynamics - Complete Guide,Author 18,McGraw Hill,3th,978-93-100067,5,ME-1-8
B00068,Diploma,Mechanical Engineering,FY,2,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 19,McGraw Hill,4th,978-93-100068,6,ME-1-9
B00069,Diploma,Mechanical Engineering,FY,2,CAD/CAM,CAD/CAM - Complete Guide,Author 20,McGraw Hill,5th,978-93-100069,7,ME-1-10
B00070,Diploma,Mechanical Engineering,FY,2,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 21,McGraw Hill,1th,978-93-100070,8,ME-1-11
B00071,Diploma,Mechanical Engineering,SY,3,Engineering Drawing,Engineering Drawing - Complete Guide,Author 22,McGraw Hill,2th,978-93-100071,9,ME-2-12
B00072,Diploma,Mechanical Engineering,SY,3,Thermodynamics,Thermodynamics - Complete Guide,Author 23,McGraw Hill,3th,978-93-100072,2,ME-2-13
B00073,Diploma,Mechanical Engineering,SY,3,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 24,McGraw Hill,4th,978-93-100073,3,ME-2-14
B00074,Diploma,Mechanical Engineering,SY,3,CAD/CAM,CAD/CAM - Complete Guide,Author 25,McGraw Hill,5th,978-93-100074,4,ME-2-15
B00075,Diploma,Mechanical Engineering,SY,3,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 26,McGraw Hill,1th,978-93-100075,5,ME-2-16
B00076,Diploma,Mechanical Engineering,SY,4,Engineering Drawing,Engineering Drawing - Complete Guide,Author 27,McGraw Hill,2th,978-93-100076,6,ME-2-17
B00077,Diploma,Mechanical Engineering,SY,4,Thermodynamics,Thermodynamics - Complete Guide,Author 28,McGraw Hill,3th,978-93-100077,7,ME-2-18
B00078,Diploma,Mechanical Engineering,SY,4,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 29,McGraw Hill,4th,978-93-100078,8,ME-2-19
B00079,Diploma,Mechanical Engineering,SY,4,CAD/CAM,CAD/CAM - Complete Guide,Author 30,McGraw Hill,5th,978-93-100079,9,ME-2-20
B00080,Diploma,Mechanical Engineering,SY,4,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 31,McGraw Hill,1th,978-93-100080,2,ME-2-1
B00081,Diploma,Mechanical Engineering,TY,5,Engineering Drawing,Engineering Drawing - Complete Guide,Author 32,McGraw Hill,2th,978-93-100081,3,ME-3-2
B00082,Diploma,Mechanical Engineering,TY,5,Thermodynamics,Thermodynamics - Complete Guide,Author 33,McGraw Hill,3th,978-93-100082,4,ME-3-3
B00083,Diploma,Mechanical Engineering,TY,5,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 34,McGraw Hill,4th,978-93-100083,5,ME-3-4
B00084,Diploma,Mechanical Engineering,TY,5,CAD/CAM,CAD/CAM - Complete Guide,Author 35,McGraw Hill,5th,978-93-100084,6,ME-3-5
B00085,Diploma,Mechanical Engineering,TY,5,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 36,McGraw Hill,1th,978-93-100085,7,ME-3-6
B00086,Diploma,Mechanical Engineering,TY,6,Engineering Drawing,Engineering Drawing - Complete Guide,Author 37,McGraw Hill,2th,978-93-100086,8,ME-3-7
B00087,Diploma,Mechanical Engineering,TY,6,Thermodynamics,Thermodynamics - Complete Guide,Author 38,McGraw Hill,3th,978-93-100087,9,ME-3-8
B00088,Diploma,Mechanical Engineering,TY,6,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 39,McGraw Hill,4th,978-93-100088,2,ME-3-9
B00089,Diploma,Mechanical Engineering,TY,6,CAD/CAM,CAD/CAM - Complete Guide,Author 40,McGraw Hill,5th,978-93-100089,3,ME-3-10
B00090,Diploma,Mechanical Engineering,TY,6,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 41,McGraw Hill,1th,978-93-100090,4,ME-3-11
B00091,Diploma,Electrical Engineering,FY,1,Basic Electrical,Basic Electrical - Complete Guide,Author 42,McGraw Hill,2th,978-93-100091,5,EL-1-12
B00092,Diploma,Electrical Engineering,FY,1,Electrical Machines,Electrical Machines - Complete Guide,Author 43,McGraw Hill,3th,978-93-100092,6,EL-1-13
B00093,Diploma,Electrical Engineering,FY,1,Power Systems,Power Systems - Complete Guide,Author 44,McGraw Hill,4th,978-93-100093,7,EL-1-14
B00094,Diploma,Electrical Engineering,FY,1,Control Systems,Control Systems - Complete Guide,Author 45,McGraw Hill,5th,978-93-100094,8,EL-1-15
B00095,Diploma,Electrical Engineering,FY,1,Power Electronics,Power Electronics - Complete Guide,Author 46,McGraw Hill,1th,978-93-100095,9,EL-1-16
B00096,Diploma,Electrical Engineering,FY,2,Basic Electrical,Basic Electrical - Complete Guide,Author 47,McGraw Hill,2th,978-93-100096,2,EL-1-17
B00097,Diploma,Electrical Engineering,FY,2,Electrical Machines,Electrical Machines - Complete Guide,Author 48,McGraw Hill,3th,978-93-100097,3,EL-1-18
B00098,Diploma,Electrical Engineering,FY,2,Power Systems,Power Systems - Complete Guide,Author 49,McGraw Hill,4th,978-93-100098,4,EL-1-19
B00099,Diploma,Electrical Engineering,FY,2,Control Systems,Control Systems - Complete Guide,Author 50,McGraw Hill,5th,978-93-100099,5,EL-1-20
B00100,Diploma,Electrical Engineering,FY,2,Power Electronics,Power Electronics - Complete Guide,Author 1,McGraw Hill,1th,978-93-100100,6,EL-1-1
B00101,Diploma,Electrical Engineering,SY,3,Basic Electrical,Basic Electrical - Complete Guide,Author 2,McGraw Hill,2th,978-93-100101,7,EL-2-2
B00102,Diploma,Electrical Engineering,SY,3,Electrical Machines,Electrical Machines - Complete Guide,Author 3,McGraw Hill,3th,978-93-100102,8,EL-2-3
B00103,Diploma,Electrical Engineering,SY,3,Power Systems,Power Systems - Complete Guide,Author 4,McGraw Hill,4th,978-93-100103,9,EL-2-4
B00104,Diploma,Electrical Engineering,SY,3,Control Systems,Control Systems - Complete Guide,Author 5,McGraw Hill,5th,978-93-100104,2,EL-2-5
B00105,Diploma,Electrical Engineering,SY,3,Power Electronics,Power Electronics - Complete Guide,Author 6,McGraw Hill,1th,978-93-100105,3,EL-2-6
B00106,Diploma,Electrical Engineering,SY,4,Basic Electrical,Basic Electrical - Complete Guide,Author 7,McGraw Hill,2th,978-93-100106,4,EL-2-7
B00107,Diploma,Electrical Engineering,SY,4,Electrical Machines,Electrical Machines - Complete Guide,Author 8,McGraw Hill,3th,978-93-100107,5,EL-2-8
B00108,Diploma,Electrical Engineering,SY,4,Power Systems,Power Systems - Complete Guide,Author 9,McGraw Hill,4th,978-93-100108,6,EL-2-9
B00109,Diploma,Electrical Engineering,SY,4,Control Systems,Control Systems - Complete Guide,Author 10,McGraw Hill,5th,978-93-100109,7,EL-2-10
B00110,Diploma,Electrical Engineering,SY,4,Power Electronics,Power Electronics - Complete Guide,Author 11,McGraw Hill,1th,978-93-100110,8,EL-2-11
B00111,Diploma,Electrical Engineering,TY,5,Basic Electrical,Basic Electrical - Complete Guide,Author 12,McGraw Hill,2th,978-93-100111,9,EL-3-12
B00112,Diploma,Electrical Engineering,TY,5,Electrical Machines,Electrical Machines - Complete Guide,Author 13,McGraw Hill,3th,978-93-100112,2,EL-3-13
B00113,Diploma,Electrical Engineering,TY,5,Power Systems,Power Systems - Complete Guide,Author 14,McGraw Hill,4th,978-93-100113,3,EL-3-14
B00114,Diploma,Electrical Engineering,TY,5,Control Systems,Control Systems - Complete Guide,Author 15,McGraw Hill,5th,978-93-100114,4,EL-3-15
B00115,Diploma,Electrical Engineering,TY,5,Power Electronics,Power Electronics - Complete Guide,Author 16,McGraw Hill,1th,978-93-100115,5,EL-3-16
B00116,Diploma,Electrical Engineering,TY,6,Basic Electrical,Basic Electrical - Complete Guide,Author 17,McGraw Hill,2th,978-93-100116,6,EL-3-17
B00117,Diploma,Electrical Engineering,TY,6,Electrical Machines,Electrical Machines - Complete Guide,Author 18,McGraw Hill,3th,978-93-100117,7,EL-3-18
B00118,Diploma,Electrical Engineering,TY,6,Power Systems,Power Systems - Complete Guide,Author 19,McGraw Hill,4th,978-93-100118,8,EL-3-19
B00119,Diploma,Electrical Engineering,TY,6,Control Systems,Control Systems - Complete Guide,Author 20,McGraw Hill,5th,978-93-100119,9,EL-3-20
B00120,Diploma,Electrical Engineering,TY,6,Power Electronics,Power Electronics - Complete Guide,Author 21,McGraw Hill,1th,978-93-100120,2,EL-3-1
B00121,Diploma,Information Technology,FY,1,Web Development,Web Development - Complete Guide,Author 22,McGraw Hill,2th,978-93-100121,3,IN-1-2
B00122,Diploma,Information Technology,FY,1,Cloud Computing,Cloud Computing - Complete Guide,Author 23,McGraw Hill,3th,978-93-100122,4,IN-1-3
B00123,Diploma,Information Technology,FY,1,Cyber Security,Cyber Security - Complete Guide,Author 24,McGraw Hill,4th,978-93-100123,5,IN-1-4
B00124,Diploma,Information Technology,FY,1,Java Programming,Java Programming - Complete Guide,Author 25,McGraw Hill,5th,978-93-100124,6,IN-1-5
B00125,Diploma,Information Technology,FY,1,Software Engineering,Software Engineering - Complete Guide,Author 26,McGraw Hill,1th,978-93-100125,7,IN-1-6
B00126,Diploma,Information Technology,FY,2,Web Development,Web Development - Complete Guide,Author 27,McGraw Hill,2th,978-93-100126,8,IN-1-7
B00127,Diploma,Information Technology,FY,2,Cloud Computing,Cloud Computing - Complete Guide,Author 28,McGraw Hill,3th,978-93-100127,9,IN-1-8
B00128,Diploma,Information Technology,FY,2,Cyber Security,Cyber Security - Complete Guide,Author 29,McGraw Hill,4th,978-93-100128,2,IN-1-9
B00129,Diploma,Information Technology,FY,2,Java Programming,Java Programming - Complete Guide,Author 30,McGraw Hill,5th,978-93-100129,3,IN-1-10
B00130,Diploma,Information Technology,FY,2,Software Engineering,Software Engineering - Complete Guide,Author 31,McGraw Hill,1th,978-93-100130,4,IN-1-11
B00131,Diploma,Information Technology,SY,3,Web Development,Web Development - Complete Guide,Author 32,McGraw Hill,2th,978-93-100131,5,IN-2-12
B00132,Diploma,Information Technology,SY,3,Cloud Computing,Cloud Computing - Complete Guide,Author 33,McGraw Hill,3th,978-93-100132,6,IN-2-13
B00133,Diploma,Information Technology,SY,3,Cyber Security,Cyber Security - Complete Guide,Author 34,McGraw Hill,4th,978-93-100133,7,IN-2-14
B00134,Diploma,Information Technology,SY,3,Java Programming,Java Programming - Complete Guide,Author 35,McGraw Hill,5th,978-93-100134,8,IN-2-15
B00135,Diploma,Information Technology,SY,3,Software Engineering,Software Engineering - Complete Guide,Author 36,McGraw Hill,1th,978-93-100135,9,IN-2-16
B00136,Diploma,Information Technology,SY,4,Web Development,Web Development - Complete Guide,Author 37,McGraw Hill,2th,978-93-100136,2,IN-2-17
B00137,Diploma,Information Technology,SY,4,Cloud Computing,Cloud Computing - Complete Guide,Author 38,McGraw Hill,3th,978-93-100137,3,IN-2-18
B00138,Diploma,Information Technology,SY,4,Cyber Security,Cyber Security - Complete Guide,Author 39,McGraw Hill,4th,978-93-100138,4,IN-2-19
B00139,Diploma,Information Technology,SY,4,Java Programming,Java Programming - Complete Guide,Author 40,McGraw Hill,5th,978-93-100139,5,IN-2-20
B00140,Diploma,Information Technology,SY,4,Software Engineering,Software Engineering - Complete Guide,Author 41,McGraw Hill,1th,978-93-100140,6,IN-2-1
B00141,Diploma,Information Technology,TY,5,Web Development,Web Development - Complete Guide,Author 42,McGraw Hill,2th,978-93-100141,7,IN-3-2
B00142,Diploma,Information Technology,TY,5,Cloud Computing,Cloud Computing - Complete Guide,Author 43,McGraw Hill,3th,978-93-100142,8,IN-3-3
B00143,Diploma,Information Technology,TY,5,Cyber Security,Cyber Security - Complete Guide,Author 44,McGraw Hill,4th,978-93-100143,9,IN-3-4
B00144,Diploma,Information Technology,TY,5,Java Programming,Java Programming - Complete Guide,Author 45,McGraw Hill,5th,978-93-100144,2,IN-3-5
B00145,Diploma,Information Technology,TY,5,Software Engineering,Software Engineering - Complete Guide,Author 46,McGraw Hill,1th,978-93-100145,3,IN-3-6
B00146,Diploma,Information Technology,TY,6,Web Development,Web Development - Complete Guide,Author 47,McGraw Hill,2th,978-93-100146,4,IN-3-7
B00147,Diploma,Information Technology,TY,6,Cloud Computing,Cloud Computing - Complete Guide,Author 48,McGraw Hill,3th,978-93-100147,5,IN-3-8
B00148,Diploma,Information Technology,TY,6,Cyber Security,Cyber Security - Complete Guide,Author 49,McGraw Hill,4th,978-93-100148,6,IN-3-9
B00149,Diploma,Information Technology,TY,6,Java Programming,Java Programming - Complete Guide,Author 50,McGraw Hill,5th,978-93-100149,7,IN-3-10
B00150,Diploma,Information Technology,TY,6,Software Engineering,Software Engineering - Complete Guide,Author 1,McGraw Hill,1th,978-93-100150,8,IN-3-11
B00151,Diploma,Electronics & Communication,FY,1,Digital Electronics,Digital Electronics - Complete Guide,Author 2,McGraw Hill,2th,978-93-100151,9,EL-1-12
B00152,Diploma,Electronics & Communication,FY,1,Microprocessors,Microprocessors - Complete Guide,Author 3,McGraw Hill,3th,978-93-100152,2,EL-1-13
B00153,Diploma,Electronics & Communication,FY,1,Communication Systems,Communication Systems - Complete Guide,Author 4,McGraw Hill,4th,978-93-100153,3,EL-1-14
B00154,Diploma,Electronics & Communication,FY,1,VLSI,VLSI - Complete Guide,Author 5,McGraw Hill,5th,978-93-100154,4,EL-1-15
B00155,Diploma,Electronics & Communication,FY,1,Embedded Systems,Embedded Systems - Complete Guide,Author 6,McGraw Hill,1th,978-93-100155,5,EL-1-16
B00156,Diploma,Electronics & Communication,FY,2,Digital Electronics,Digital Electronics - Complete Guide,Author 7,McGraw Hill,2th,978-93-100156,6,EL-1-17
B00157,Diploma,Electronics & Communication,FY,2,Microprocessors,Microprocessors - Complete Guide,Author 8,McGraw Hill,3th,978-93-100157,7,EL-1-18
B00158,Diploma,Electronics & Communication,FY,2,Communication Systems,Communication Systems - Complete Guide,Author 9,McGraw Hill,4th,978-93-100158,8,EL-1-19
B00159,Diploma,Electronics & Communication,FY,2,VLSI,VLSI - Complete Guide,Author 10,McGraw Hill,5th,978-93-100159,9,EL-1-20
B00160,Diploma,Electronics & Communication,FY,2,Embedded Systems,Embedded Systems - Complete Guide,Author 11,McGraw Hill,1th,978-93-100160,2,EL-1-1
B00161,Diploma,Electronics & Communication,SY,3,Digital Electronics,Digital Electronics - Complete Guide,Author 12,McGraw Hill,2th,978-93-100161,3,EL-2-2
B00162,Diploma,Electronics & Communication,SY,3,Microprocessors,Microprocessors - Complete Guide,Author 13,McGraw Hill,3th,978-93-100162,4,EL-2-3
B00163,Diploma,Electronics & Communication,SY,3,Communication Systems,Communication Systems - Complete Guide,Author 14,McGraw Hill,4th,978-93-100163,5,EL-2-4
B00164,Diploma,Electronics & Communication,SY,3,VLSI,VLSI - Complete Guide,Author 15,McGraw Hill,5th,978-93-100164,6,EL-2-5
B00165,Diploma,Electronics & Communication,SY,3,Embedded Systems,Embedded Systems - Complete Guide,Author 16,McGraw Hill,1th,978-93-100165,7,EL-2-6
B00166,Diploma,Electronics & Communication,SY,4,Digital Electronics,Digital Electronics - Complete Guide,Author 17,McGraw Hill,2th,978-93-100166,8,EL-2-7
B00167,Diploma,Electronics & Communication,SY,4,Microprocessors,Microprocessors - Complete Guide,Author 18,McGraw Hill,3th,978-93-100167,9,EL-2-8
B00168,Diploma,Electronics & Communication,SY,4,Communication Systems,Communication Systems - Complete Guide,Author 19,McGraw Hill,4th,978-93-100168,2,EL-2-9
B00169,Diploma,Electronics & Communication,SY,4,VLSI,VLSI - Complete Guide,Author 20,McGraw Hill,5th,978-93-100169,3,EL-2-10
B00170,Diploma,Electronics & Communication,SY,4,Embedded Systems,Embedded Systems - Complete Guide,Author 21,McGraw Hill,1th,978-93-100170,4,EL-2-11
B00171,Diploma,Electronics & Communication,TY,5,Digital Electronics,Digital Electronics - Complete Guide,Author 22,McGraw Hill,2th,978-93-100171,5,EL-3-12
B00172,Diploma,Electronics & Communication,TY,5,Microprocessors,Microprocessors - Complete Guide,Author 23,McGraw Hill,3th,978-93-100172,6,EL-3-13
B00173,Diploma,Electronics & Communication,TY,5,Communication Systems,Communication Systems - Complete Guide,Author 24,McGraw Hill,4th,978-93-100173,7,EL-3-14
B00174,Diploma,Electronics & Communication,TY,5,VLSI,VLSI - Complete Guide,Author 25,McGraw Hill,5th,978-93-100174,8,EL-3-15
B00175,Diploma,Electronics & Communication,TY,5,Embedded Systems,Embedded Systems - Complete Guide,Author 26,McGraw Hill,1th,978-93-100175,9,EL-3-16
B00176,Diploma,Electronics & Communication,TY,6,Digital Electronics,Digital Electronics - Complete Guide,Author 27,McGraw Hill,2th,978-93-100176,2,EL-3-17
B00177,Diploma,Electronics & Communication,TY,6,Microprocessors,Microprocessors - Complete Guide,Author 28,McGraw Hill,3th,978-93-100177,3,EL-3-18
B00178,Diploma,Electronics & Communication,TY,6,Communication Systems,Communication Systems - Complete Guide,Author 29,McGraw Hill,4th,978-93-100178,4,EL-3-19
B00179,Diploma,Electronics & Communication,TY,6,VLSI,VLSI - Complete Guide,Author 30,McGraw Hill,5th,978-93-100179,5,EL-3-20
B00180,Diploma,Electronics & Communication,TY,6,Embedded Systems,Embedded Systems - Complete Guide,Author 31,McGraw Hill,1th,978-93-100180,6,EL-3-1
B00181,Diploma,Automobile Engineering,FY,1,Automobile Engineering,Automobile Engineering - Complete Guide,Author 32,McGraw Hill,2th,978-93-100181,7,AU-1-2
B00182,Diploma,Automobile Engineering,FY,1,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 33,McGraw Hill,3th,978-93-100182,8,AU-1-3
